slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,rimFG,rimFGA,rimFG%,rimAst'd,rim%Ast'd,3pt%Ast'd
waitedi01,Dion Waiters,SHOOTING GUARD,27,MIAMI HEAT,44,28,1138,198,478,109,289,22,44,7,109,121,29,9,64,72,16.4,0.7,-1.1,-0.6,10.2,1.1,0.092,-0.5,0.7,0.1,11.4,1.2,0.605,5.4,0.53,11.4,21.1,0.3,1.2,0.052000000000000005,59,108,.546,13,.220,.826
walkeke02,Kemba Walker,POINT GUARD,28,CHARLOTTE HORNETS,82,82,2863,731,1684,260,731,380,450,52,309,484,102,34,211,131,29.4,1.0,4.2,-1.0,11.9,1.9,0.267,5.2,1.9,5.5,21.7,1.7,0.434,6.8,0.5579999999999999,10.1,31.5,4.4,7.4,0.12300000000000001,245,425,.576,40,.163,.438
walljo01,John Wall,POINT GUARD,28,WASHINGTON WIZARDS,32,32,1104,245,552,51,169,122,175,15,101,279,49,29,121,71,39.2,2.2,0.9,-1.4,10.1,0.7,0.317,2.2,1.5,0.5,18.0,2.1,0.306,5.7,0.527,16.1,28.8,0.8,1.2,0.051,129,208,.620,18,.140,.784
princta02,Taurean Prince,SMALL FORWARD,24,ATLANTA HAWKS,55,47,1552,262,594,123,315,95,116,22,177,118,53,19,100,141,11.1,1.1,-2.0,-1.0,12.3,0.7,0.195,-1.0,1.5,0.8,11.9,1.6,0.53,6.7,0.575,13.4,19.5,0.0,1.5,0.047,71,103,.689,39,.549,.854
warretj01,T.J. Warren,SMALL FORWARD,25,PHOENIX SUNS,43,36,1360,297,611,77,180,101,124,31,143,64,51,29,52,119,7.7,1.8,-0.2,-1.1,11.8,0.5,0.203,0.9,2.5,1.6,16.3,1.8,0.295,7.1,0.58,7.2,22.7,0.6,2.1,0.07400000000000001,123,183,.672,74,.602,.896
westbru01,Russell Westbrook,POINT GUARD,30,OKLAHOMA CITY THUNDER,73,73,2630,630,1473,119,411,296,451,109,698,784,142,33,325,245,46.5,1.1,5.2,2.4,28.3,5.0,0.306,2.8,4.1,1.8,21.1,2.5,0.27899999999999997,15.8,0.501,16.3,30.9,4.7,6.8,0.124,363,569,.638,72,.198,.638
whitede01,Derrick White,POINT GUARD,24,SAN ANTONIO SPURS,67,55,1728,260,543,48,142,95,123,35,212,263,67,47,97,145,21.0,2.3,0.9,1.3,13.3,1.9,0.22699999999999998,-0.4,2.2,1.7,14.8,1.9,0.262,7.8,0.555,14.0,17.7,1.3,3.6,0.10099999999999999,108,163,.663,45,.417,.811
whiteha01,Hassan Whiteside,CENTER,29,MIAMI HEAT,72,53,1674,388,680,2,16,109,243,257,560,56,46,136,97,192,5.6,7.3,2.3,1.2,35.6,4.0,0.35700000000000004,1.1,16.3,2.3,23.5,1.3,0.024,25.9,0.564,11.0,22.6,1.8,6.3,0.18,251,360,.697,145,.578,1.000
wiggian01,Andrew Wiggins,SMALL FORWARD,23,MINNESOTA TIMBERWOLVES,73,73,2543,498,1209,118,348,207,296,83,269,184,70,48,138,153,10.9,1.6,-3.0,-1.8,11.4,1.3,0.245,-1.2,3.5,-0.6,12.4,1.3,0.28800000000000003,7.4,0.493,9.3,24.4,-0.6,0.6,0.012,198,319,.621,114,.576,.814
willike04,Kenrich Williams,SMALL FORWARD,24,NEW ORLEANS PELICANS,46,29,1079,107,279,52,156,13,19,55,164,83,45,19,36,95,9.5,1.4,-1.9,0.4,15.5,0.9,0.068,-2.3,5.4,0.3,9.7,1.9,0.5589999999999999,10.5,0.485,11.1,12.3,0.0,1.2,0.053,46,79,.582,34,.739,.923
willilo02,Lou Williams,SHOOTING GUARD,32,LOS ANGELES CLIPPERS,75,1,1993,484,1138,105,291,425,485,40,182,402,57,11,181,80,33.0,0.4,2.2,-2.1,9.4,1.2,0.426,4.3,2.2,3.9,21.2,1.3,0.256,5.9,0.5539999999999999,11.8,32.4,2.1,5.1,0.12300000000000001,156,274,.569,35,.224,.586
willima02,Marvin Williams,POWER FORWARD,32,CHARLOTTE HORNETS,75,75,2133,275,652,140,382,66,86,76,331,92,71,61,47,156,6.1,2.5,-0.3,0.2,17.1,1.9,0.132,-0.4,3.8,1.9,12.6,1.6,0.586,10.3,0.5479999999999999,6.4,14.9,0.9,3.8,0.086,66,103,.641,48,.727,.993
winslju01,Justise Winslow,SMALL FORWARD,22,MIAMI HEAT,66,52,1959,324,749,96,256,86,137,63,292,282,72,19,142,177,21.9,0.9,-0.6,0.7,15.9,2.6,0.183,-1.3,3.4,0.2,12.8,1.8,0.342,9.6,0.513,14.9,20.8,0.7,2.8,0.067,107,188,.569,42,.393,.979
youngth01,Thaddeus Young,POWER FORWARD,30,INDIANA PACERS,81,81,2489,443,841,51,146,87,135,192,331,204,123,36,123,194,12.0,1.3,1.5,1.1,14.4,3.9,0.161,0.4,8.7,3.0,16.2,2.4,0.174,11.7,0.569,12.0,18.0,2.2,6.9,0.133,276,410,.673,155,.562,.943
youngtr01,Trae Young,POINT GUARD,20,ATLANTA HAWKS,81,81,2503,525,1256,156,482,343,414,64,237,653,72,15,308,140,40.5,0.5,-0.6,-2.8,10.2,0.7,0.33,2.3,2.6,2.5,17.0,1.3,0.384,6.3,0.539,17.6,28.4,0.9,3.3,0.062,187,333,.562,37,.198,.423
zelleco01,Cody Zeller,CENTER,26,CHARLOTTE HORNETS,49,47,1243,190,345,6,22,111,141,110,223,102,38,41,62,164,12.1,2.9,0.1,0.7,19.7,1.2,0.409,-0.6,9.4,2.6,17.2,1.5,0.064,14.5,0.611,13.2,16.3,0.7,3.9,0.15,130,188,.691,93,.715,1.000
zizican01,Ante Žižić,CENTER,22,CLEVELAND CAVALIERS,59,25,1082,183,331,0,0,93,132,108,212,53,13,22,61,113,7.7,1.8,-3.2,-2.1,22.8,0.3,0.39899999999999997,-1.1,10.6,1.7,16.2,0.6,0.0,16.4,0.59,13.6,18.2,-0.3,2.0,0.087,124,187,.663,81,.653,0
