slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,height,weight,per game FG,per game FGA,per game 3P,per game 3PA,per game 2P,per game 2PA,per game FT,per game FTA,per game ORB,per game DRB,per game TRB,per game AST,per game STL,per game BLK,per game TOV,per game PF,per game PTS,At Rim FG,At Rim FGA,At Rim FG%,At Rim Ast'd,At Rim %Ast'd,3 to <10 ft FG,3 to <10 ft FGA,3 to <10 ft FG%,3 to <10 ft Ast'd,3 to <10 ft %Ast'd,10 to <16 ft FG,10 to <16 ft FGA,10 to <16 ft FG%,10 to <16 ft Ast'd,10 to <16 ft %Ast'd,16 ft to <3-pt FG,16 ft to <3-pt FGA,16 ft to <3-pt FG%,16 ft to <3-pt Ast'd,16 ft to <3-pt %Ast'd,3-pt FG,3-pt FGA,3-pt FG%,3-pt Ast'd,3-pt %Ast'd
bogdabo02,Bojan Bogdanović,SMALL FORWARD,28,INDIANA PACERS,80,80,2464,404,852,155,386,178,205,30,240,119,55,8,106,129,7.1,0.3,-0.7,-1.2,10.9,1.6,0.24100000000000002,0.5,1.4,3.8,13.9,1.1,0.45299999999999996,6.2,0.605,10.1,19.0,0.8,5.4,0.105,80,216,5.1,10.7,1.9,4.8,3.1,5.8,2.2,2.6,0.4,3.0,3.4,1.5,0.7,0.1,1.3,1.6,14.3,152,236,.644,90,.592,49,115,.426,21,.429,40,90,.444,14,.350,23,61,.377,16,.696,172,431,.399,163,.948
bookede01,Devin Booker,SHOOTING GUARD,21,PHOENIX SUNS,54,54,1865,455,1054,147,384,289,329,26,218,253,47,14,194,168,24.4,0.6,0.9,-2.0,12.7,0.6,0.312,2.9,1.5,1.9,18.1,1.2,0.364,7.0,0.561,13.9,31.7,1.4,2.4,0.063,77,210,8.4,19.5,2.7,7.1,5.7,12.4,5.4,6.1,0.5,4.0,4.5,4.7,0.9,0.3,3.6,3.1,24.9,116,190,.611,41,.353,53,151,.351,17,.321,74,185,.400,23,.311,65,144,.451,23,.354,147,384,.383,90,.612
bradlav01,Avery Bradley,SHOOTING GUARD,27,DETROIT PISTONS,40,40,1268,233,570,74,194,61,80,19,75,83,46,7,93,80,10.5,0.5,-3.9,-1.1,6.7,1.1,0.14,-2.8,1.6,-1.4,9.7,1.8,0.34,4.1,0.49700000000000005,13.3,24.4,-0.6,-0.2,-0.009000000000000001,75,180,5.8,14.3,1.9,4.9,4.0,9.4,1.5,2.0,0.5,1.9,2.4,2.1,1.2,0.2,2.3,2.0,15.0,85,141,.603,56,.659,28,82,.341,20,.714,22,62,.355,14,.636,49,137,.358,36,.735,75,203,.369,69,.920
brogdma01,Malcolm Brogdon,POINT GUARD,25,MILWAUKEE BUCKS,48,20,1436,244,503,62,161,75,85,23,133,152,41,13,66,128,16.3,0.8,-1.2,-1.0,10.8,0.7,0.16899999999999998,-0.1,1.9,2.0,14.3,1.4,0.32,6.4,0.578,10.9,19.1,0.3,2.7,0.091,77,229,5.1,10.5,1.3,3.4,3.8,7.1,1.6,1.8,0.5,2.8,3.3,3.2,0.9,0.3,1.4,2.7,13.0,134,202,.663,63,.470,22,76,.289,8,.364,27,62,.435,6,.222,18,38,.474,5,.278,67,180,.372,49,.731
brookdi01,Dillon Brooks,SMALL FORWARD,22,MEMPHIS GRIZZLIES,82,74,2350,340,772,94,264,124,166,49,208,135,73,17,124,233,9.3,0.7,-4.0,-1.1,10.5,1.1,0.215,-2.9,2.4,0.1,9.8,1.6,0.342,6.3,0.531,12.8,18.5,-1.2,1.2,0.024,79,220,4.1,9.4,1.1,3.2,3.0,6.2,1.5,2.0,0.6,2.5,3.1,1.6,0.9,0.2,1.5,2.8,11.0,138,212,.651,84,.609,49,110,.445,19,.388,31,91,.341,11,.355,28,95,.295,17,.607,94,264,.356,85,.904
brownja02,Jaylen Brown,SHOOTING GUARD,21,BOSTON CELTICS,70,70,2152,373,803,121,306,150,233,66,280,114,70,26,124,181,8.5,1.0,-0.5,0.3,14.0,3.2,0.29,-0.8,3.4,1.2,13.6,1.6,0.381,8.8,0.562,12.0,21.4,0.8,4.5,0.1,78,223,5.3,11.5,1.7,4.4,3.6,7.1,2.1,3.3,0.9,4.0,4.9,1.6,1.0,0.4,1.8,2.6,14.5,231,369,.626,128,.554,47,152,.309,19,.404,25,57,.439,9,.360,29,72,.403,16,.552,165,418,.395,156,.945
bullore01,Reggie Bullock,SMALL FORWARD,26,DETROIT PISTONS,62,52,1732,267,546,125,281,39,49,27,127,95,47,13,47,70,8.4,0.7,0.7,0.0,8.3,1.4,0.09,0.7,1.7,2.8,13.6,1.4,0.515,4.9,0.615,7.6,15.7,1.2,4.2,0.11699999999999999,78,200,4.3,8.8,2.0,4.5,2.3,4.3,0.6,0.8,0.4,2.0,2.5,1.5,0.8,0.2,0.8,1.1,11.3,80,108,.741,65,.812,17,60,.283,12,.706,24,55,.436,21,.875,21,42,.500,18,.857,125,281,.445,121,.968
burksal01,Alec Burks,SHOOTING GUARD,26,UTAH JAZZ,64,1,1059,170,414,47,142,107,124,19,173,67,37,8,60,75,10.0,0.6,-0.9,0.4,18.4,1.6,0.3,-1.3,2.1,0.2,13.1,1.8,0.34299999999999997,10.3,0.527,11.4,22.5,0.3,1.9,0.084,78,214,2.7,6.5,0.7,2.2,1.9,4.3,1.7,1.9,0.3,2.7,3.0,1.0,0.6,0.1,0.9,1.2,7.7,75,119,.630,41,.547,30,95,.316,9,.300,20,56,.357,3,.150,19,45,.422,7,.368,56,162,.346,38,.679
butleji01,Jimmy Butler,SHOOTING GUARD,28,MINNESOTA TIMBERWOLVES,59,59,2164,437,921,70,200,363,425,79,235,288,116,24,108,78,20.6,1.0,5.8,0.7,12.7,1.8,0.461,5.0,4.2,7.1,23.7,2.7,0.217,8.4,0.59,8.9,24.9,4.2,8.9,0.198,79,230,7.4,15.6,1.2,3.4,6.2,12.2,6.2,7.2,1.3,4.0,5.3,4.9,2.0,0.4,1.8,1.3,22.2,168,256,.656,83,.494,78,170,.459,12,.154,84,195,.431,19,.226,57,146,.390,16,.281,78,217,.359,59,.756
caldwke01,Kentavious Caldwell-Pope,SHOOTING GUARD,24,LOS ANGELES LAKERS,74,74,2458,340,798,159,415,153,194,60,327,162,106,16,97,145,9.4,0.5,0.3,0.6,14.1,2.7,0.243,-0.4,2.6,2.6,13.2,2.1,0.52,8.4,0.561,9.9,16.9,1.4,5.3,0.10300000000000001,77,205,4.6,10.8,2.1,5.6,2.4,5.2,2.1,2.6,0.8,4.4,5.2,2.2,1.4,0.2,1.3,2.0,13.4,104,156,.667,61,.587,17,52,.327,13,.765,16,49,.327,9,.562,44,126,.349,28,.636,159,414,.384,139,.874
