slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,rimFG,rimFGA,rimFG%,rimAst'd,rim%Ast'd,3pt%Ast'd
adamsst01,Steven Adams,CENTER,20,OKLAHOMA CITY THUNDER,81,20,1197,93,185,0,0,79,136,142,190,43,40,57,71,203,4.9,3.9,-2.2,0.9,17.1,1.9,0.735,-3.1,14.1,0.9,11.2,1.7,0.0,15.6,0.541,22.5,11.7,-0.1,2.9,0.114,101,156,.647,60,.594,0
afflaar01,Arron Afflalo,SHOOTING GUARD,28,ORLANDO MAGIC,73,73,2552,464,1011,128,300,274,336,32,230,248,35,3,146,136,16.9,0.1,-0.2,-1.6,10.2,1.0,0.332,1.4,1.4,4.3,16.0,0.7,0.297,5.8,0.574,11.2,23.3,1.1,5.3,0.099,94,159,.591,57,.606,.883
aldrila01,LaMarcus Aldridge,POWER FORWARD,28,PORTLAND TRAIL BLAZERS,69,69,2498,652,1423,3,15,296,360,166,599,178,63,68,123,147,13.0,1.9,2.3,0.1,25.5,3.5,0.253,2.3,7.2,4.0,21.8,1.3,0.011000000000000001,16.5,0.507,7.2,29.8,2.7,7.5,0.14400000000000002,221,332,.666,115,.520,.600
allenra02,Ray Allen,SHOOTING GUARD,38,MIAMI HEAT,73,9,1936,240,543,116,309,105,116,23,182,143,54,8,84,115,11.1,0.4,-0.4,-0.9,11.4,1.5,0.214,0.5,1.6,2.5,12.8,1.5,0.569,6.7,0.59,12.4,16.8,0.8,4.1,0.10099999999999999,66,109,.606,34,.515,.946
allento01,Tony Allen,SHOOTING GUARD,32,MEMPHIS GRIZZLIES,55,28,1278,204,413,11,47,76,121,79,129,94,90,19,90,121,11.7,1.2,1.0,2.1,12.0,2.1,0.293,-1.1,7.3,0.5,15.6,3.8,0.114,9.6,0.531,16.2,20.1,1.0,2.7,0.1,177,276,.641,95,.537,1.000
aminual01,Al-Farouq Aminu,SMALL FORWARD,23,NEW ORLEANS PELICANS,80,65,2045,234,494,13,48,91,137,129,367,114,82,38,88,147,8.4,1.6,-0.6,0.3,21.2,1.8,0.27699999999999997,-0.9,7.2,1.3,13.2,2.1,0.09699999999999999,14.1,0.516,13.7,14.3,0.7,3.1,0.07200000000000001,148,224,.661,95,.642,1.000
anderch01,Chris Andersen,CENTER,35,MIAMI HEAT,72,0,1396,177,275,3,12,120,169,129,250,19,32,97,53,162,2.1,6.1,1.2,0.7,21.7,2.2,0.615,0.6,12.1,3.8,18.5,1.2,0.044000000000000004,17.1,0.6829999999999999,13.2,13.8,1.1,6.0,0.205,195,265,.736,135,.692,1.000
anderal01,Alan Anderson,SMALL FORWARD,31,BROOKLYN NETS,78,26,1773,194,485,84,248,92,118,40,135,81,48,11,62,147,7.3,0.5,-2.8,-1.0,9.1,0.9,0.243,-1.8,2.7,0.8,9.5,1.4,0.511,5.9,0.525,10.4,15.9,-0.4,1.7,0.047,66,100,.660,29,.439,.882
anderja01,James Anderson,SHOOTING GUARD,24,PHILADELPHIA 76ERS,80,62,2309,309,717,115,351,77,106,59,241,149,74,28,106,154,9.9,1.0,-2.6,-1.0,11.7,0.9,0.14800000000000002,-1.5,2.7,0.9,10.9,1.6,0.49,7.0,0.53,12.2,15.9,-0.3,1.9,0.039,146,221,.661,103,.705,.904
antetgi01,Giannis Antetokounmpo,SMALL FORWARD,19,MILWAUKEE BUCKS,77,23,1897,173,418,41,118,138,202,78,261,150,60,61,122,173,12.1,2.6,-2.5,-0.1,16.3,1.1,0.483,-2.4,4.6,0.1,10.8,1.7,0.282,10.2,0.518,19.4,15.0,-0.2,1.2,0.031,114,199,.573,73,.640,.707
