slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,rimFG,rimFGA,rimFG%,rimAst'd,rim%Ast'd,3pt%Ast'd
abrinal01,Álex Abrines,SHOOTING GUARD,24,OKLAHOMA CITY THUNDER,75,8,1134,115,291,84,221,39,46,26,88,28,38,8,25,124,3.4,0.6,-1.5,0.4,8.9,1.0,0.158,-1.9,2.5,1.3,9.0,1.7,0.759,5.6,0.5670000000000001,7.4,12.7,0.1,2.2,0.094,23,40,.575,13,.565,.989
acyqu01,Quincy Acy,POWER FORWARD,27,BROOKLYN NETS,70,8,1359,130,365,102,292,49,60,40,217,57,33,29,60,149,6.0,1.6,-2.5,0.1,17.1,1.1,0.16399999999999998,-2.6,3.1,-0.1,8.2,1.2,0.8,10.0,0.525,13.3,14.4,-0.2,1.0,0.036000000000000004,21,42,.500,18,.857,.990
adamsst01,Steven Adams,CENTER,24,OKLAHOMA CITY THUNDER,76,76,2487,448,712,0,2,160,286,384,301,88,92,78,128,215,5.5,2.8,1.1,-0.6,13.9,3.0,0.402,1.7,16.6,6.7,20.6,1.8,0.003,15.3,0.63,13.3,16.7,2.0,9.7,0.187,365,531,.687,243,.666,
adebaba01,Bam Adebayo,CENTER,20,MIAMI HEAT,69,19,1368,174,340,0,7,129,179,118,263,101,32,41,66,138,11.0,2.5,-0.4,0.7,21.6,1.9,0.526,-1.1,9.7,2.3,15.7,1.2,0.021,15.6,0.57,13.6,15.9,0.6,4.2,0.14800000000000002,141,224,.629,97,.688,
aldrila01,LaMarcus Aldridge,CENTER,32,SAN ANTONIO SPURS,75,75,2509,687,1347,27,92,334,399,246,389,152,43,90,111,161,11.3,3.0,3.9,-0.4,17.3,3.5,0.29600000000000004,4.3,10.8,7.4,25.0,0.9,0.068,14.0,0.57,6.8,29.1,3.7,10.9,0.209,286,387,.739,160,.559,.933
allenja01,Jarrett Allen,CENTER,19,BROOKLYN NETS,72,31,1441,234,397,5,15,114,147,144,244,49,28,88,82,147,5.4,4.6,-0.8,0.1,18.1,1.5,0.37,-0.9,10.5,2.7,17.5,0.9,0.038,14.3,0.636,15.1,16.3,0.5,4.2,0.141,185,265,.698,156,.843,1.000
aminual01,Al-Farouq Aminu,POWER FORWARD,27,PORTLAND TRAIL BLAZERS,69,67,2072,230,582,125,339,59,80,97,428,84,79,40,79,136,5.8,1.6,0.4,1.1,22.3,3.2,0.13699999999999998,-0.7,5.2,0.9,12.0,1.9,0.5820000000000001,13.8,0.522,11.3,14.8,1.3,4.2,0.09699999999999999,86,139,.619,42,.488,.964
anderky01,Kyle Anderson,SMALL FORWARD,24,SAN ANTONIO SPURS,74,67,1978,231,438,19,57,104,146,84,312,202,115,60,94,114,14.7,2.5,2.9,3.3,17.6,3.8,0.33299999999999996,-0.4,4.7,2.4,15.9,2.9,0.13,11.1,0.5820000000000001,15.8,13.5,2.4,6.2,0.151,125,179,.698,64,.512,.947
anderry01,Ryan Anderson,POWER FORWARD,29,HOUSTON ROCKETS,66,50,1725,207,480,131,339,72,93,94,237,60,24,21,42,126,5.1,1.0,0.1,-0.8,15.4,1.7,0.19399999999999998,0.9,6.2,3.1,12.6,0.7,0.706,10.8,0.5920000000000001,7.5,14.4,0.9,4.8,0.132,45,69,.652,11,.244,.993
antetgi01,Giannis Antetokounmpo,POWER FORWARD,23,MILWAUKEE BUCKS,75,75,2756,742,1402,43,140,487,641,156,597,361,109,106,223,231,23.7,3.3,6.2,0.9,25.3,3.6,0.457,5.3,6.7,8.3,27.3,2.0,0.1,16.0,0.598,11.7,31.2,5.7,11.9,0.207,521,685,.761,258,.495,.915
