slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,rimFG,rimFGA,rimFG%,rimAst'd,rim%Ast'd,3pt%Ast'd
adamsst01,Steven Adams,CENTER,22,OKLAHOMA CITY THUNDER,80,80,2014,261,426,0,0,114,196,219,314,62,42,89,84,223,4.3,3.3,0.2,0.2,16.1,2.3,0.46,0.0,12.5,4.2,15.5,1.0,0.0,14.4,0.621,14.1,12.6,1.1,6.5,0.155,258,391,.660,187,.725,
afflaar01,Arron Afflalo,SHOOTING GUARD,30,NEW YORK KNICKS,71,57,2371,354,799,91,238,110,131,23,243,144,25,10,82,142,9.9,0.3,-2.9,-1.6,11.0,0.9,0.16399999999999998,-1.3,1.1,1.8,10.9,0.5,0.298,6.1,0.531,8.7,17.9,-0.5,2.7,0.055,56,92,.609,27,.482,.912
aldrila01,LaMarcus Aldridge,POWER FORWARD,30,SAN ANTONIO SPURS,74,74,2261,536,1045,0,16,259,302,176,456,110,38,81,99,151,8.1,2.8,2.3,0.3,22.2,4.5,0.289,2.0,9.2,5.6,22.4,0.9,0.015,15.9,0.565,7.8,25.9,2.5,10.1,0.215,236,335,.704,141,.597,1.000
allenla01,Lavoy Allen,POWER FORWARD,26,INDIANA PACERS,79,28,1599,191,370,0,0,46,73,162,262,76,26,42,69,147,7.1,2.1,-1.6,0.1,17.8,2.1,0.19699999999999998,-1.7,11.1,1.6,12.4,0.8,0.0,14.5,0.532,14.6,13.0,0.2,3.7,0.11,101,145,.697,61,.604,0
allento01,Tony Allen,SHOOTING GUARD,34,MEMPHIS GRIZZLIES,64,57,1620,215,469,15,42,90,138,104,192,70,110,18,78,175,6.9,1.0,-1.0,1.2,14.1,1.9,0.294,-2.2,7.0,0.5,12.9,3.5,0.09,10.4,0.505,12.8,16.8,0.4,2.4,0.07200000000000001,160,284,.563,88,.550,.938
aminual01,Al-Farouq Aminu,SMALL FORWARD,25,PORTLAND TRAIL BLAZERS,82,82,2341,299,719,126,349,115,156,98,401,138,72,53,120,171,8.8,1.8,0.1,0.2,18.6,2.3,0.217,-0.2,4.5,1.7,12.7,1.5,0.485,11.5,0.5329999999999999,13.2,16.9,1.2,4.0,0.08199999999999999,126,212,.594,79,.627,.929
anderky01,Kyle Anderson,SMALL FORWARD,22,SAN ANTONIO SPURS,78,11,1245,138,295,12,37,62,83,25,219,123,60,29,59,97,13.7,1.8,1.4,3.1,19.4,2.8,0.281,-1.7,2.4,0.7,12.9,2.5,0.125,11.2,0.528,15.1,14.4,1.1,3.5,0.133,43,69,.623,24,.558,1.000
anderry01,Ryan Anderson,POWER FORWARD,27,NEW ORLEANS PELICANS,66,7,2008,397,929,131,358,199,228,131,265,73,38,25,90,109,6.1,1.0,-0.2,-2.4,15.2,0.8,0.245,2.2,7.0,3.1,17.2,0.9,0.385,10.9,0.546,8.0,24.7,0.9,3.9,0.092,110,211,.521,48,.436,.924
antetgi01,Giannis Antetokounmpo,POINT GUARD,21,MILWAUKEE BUCKS,80,79,2823,513,1013,28,109,296,409,113,499,345,94,113,208,258,20.0,3.4,2.1,0.7,20.0,2.9,0.40399999999999997,1.3,4.6,4.2,18.8,1.7,0.10800000000000001,12.4,0.5660000000000001,14.8,22.3,2.9,7.1,0.121,353,516,.684,177,.501,.821
anthoca01,Carmelo Anthony,SMALL FORWARD,31,NEW YORK KNICKS,72,72,2530,567,1307,105,310,334,403,98,458,299,62,38,176,180,21.9,1.1,3.3,-0.5,19.5,2.5,0.308,3.8,4.3,3.9,20.3,1.3,0.237,12.0,0.53,10.6,29.7,3.4,6.4,0.121,150,278,.540,37,.247,.743
arizatr01,Trevor Ariza,SMALL FORWARD,30,HOUSTON ROCKETS,81,81,2859,357,859,185,499,126,161,67,299,188,160,26,113,177,10.0,0.8,0.4,0.3,11.6,2.3,0.187,0.1,2.6,3.1,12.9,2.8,0.581,7.1,0.551,10.8,15.7,1.7,5.4,0.09,133,229,.581,83,.624,.915
arthuda01,Darrell Arthur,POWER FORWARD,27,DENVER NUGGETS,70,16,1516,221,489,45,117,40,53,86,207,96,53,48,66,185,10.0,2.6,-0.8,0.5,15.4,1.3,0.10800000000000001,-1.3,6.2,1.0,12.5,1.8,0.239,10.7,0.514,11.4,16.7,0.4,2.3,0.07200000000000001,58,102,.569,42,.724,1.000
asikom01,Ömer Aşık,CENTER,29,NEW ORLEANS PELICANS,68,64,1178,104,195,0,0,61,112,120,294,26,21,23,60,124,3.1,1.6,-3.8,-1.0,28.7,1.0,0.574,-2.8,10.9,0.7,11.0,0.9,0.0,19.5,0.551,19.7,11.4,-0.5,1.7,0.07,98,166,.590,69,.704,0
barbole01,Leandro Barbosa,SHOOTING GUARD,33,GOLDEN STATE WARRIORS,68,0,1079,171,370,39,110,52,62,28,89,82,44,10,53,107,10.6,0.7,-2.0,-0.1,8.4,1.2,0.168,-1.9,3.0,0.9,11.7,2.0,0.297,5.8,0.545,11.8,18.1,0.0,2.1,0.092,109,171,.637,76,.697,.940
bareajo01,J.J. Barea,POINT GUARD,31,DALLAS MAVERICKS,74,16,1667,317,711,100,260,74,96,26,126,302,26,2,113,110,31.5,0.1,0.0,-1.6,8.3,0.7,0.135,1.6,1.7,2.1,15.4,0.8,0.366,5.0,0.536,13.0,23.8,0.9,2.8,0.08199999999999999,83,141,.589,25,.301,.574
barneha02,Harrison Barnes,SMALL FORWARD,23,GOLDEN STATE WARRIORS,66,59,2042,295,633,82,214,102,134,77,248,117,41,10,57,136,7.8,0.4,-1.3,-1.1,12.4,1.9,0.212,-0.2,4.3,3.1,12.3,1.0,0.33799999999999997,8.6,0.5589999999999999,7.6,15.9,0.3,4.9,0.11599999999999999,118,188,.628,85,.720,.981
barnema02,Matt Barnes,SMALL FORWARD,35,MEMPHIS GRIZZLIES,76,45,2190,264,693,119,370,111,138,84,336,163,78,57,121,234,11.6,2.4,-0.9,0.2,18.3,2.2,0.19899999999999998,-1.1,4.2,0.4,11.7,1.8,0.534,10.9,0.503,13.8,17.9,0.6,2.6,0.055999999999999994,115,204,.564,74,.643,.943
bartowi01,Will Barton,SHOOTING GUARD,25,DENVER NUGGETS,82,1,2353,425,983,112,325,216,268,59,417,203,71,39,139,147,14.4,1.3,0.8,-0.4,20.0,1.9,0.273,1.2,2.7,2.4,16.0,1.5,0.331,11.2,0.535,11.2,23.0,1.7,4.3,0.08800000000000001,175,292,.599,85,.486,.795
bassbr01,Brandon Bass,POWER FORWARD,30,LOS ANGELES LAKERS,66,0,1342,174,317,0,2,125,148,104,181,74,33,55,42,125,9.2,3.2,0.6,0.0,15.0,0.7,0.467,0.6,8.1,3.4,17.4,1.2,0.006,11.4,0.619,9.9,13.9,0.9,4.1,0.146,126,189,.667,98,.778,
batumni01,Nicolas Batum,SMALL FORWARD,27,CHARLOTTE HORNETS,70,70,2448,372,873,139,399,163,192,55,373,403,65,43,205,114,26.9,1.4,1.2,0.1,16.8,2.9,0.22,1.1,2.4,2.0,15.6,1.3,0.457,9.6,0.546,17.6,21.4,2.0,5.0,0.09699999999999999,98,139,.705,43,.439,.779
bayleje01,Jerryd Bayless,SHOOTING GUARD,27,MILWAUKEE BUCKS,52,18,1505,185,437,101,231,70,90,21,120,163,47,11,73,111,16.2,0.6,-0.8,-1.0,9.0,0.6,0.20600000000000002,0.2,1.6,1.8,12.4,1.6,0.529,5.4,0.568,13.3,16.4,0.4,2.4,0.075,32,65,.492,8,.250,.901
baynear01,Aron Baynes,CENTER,29,DETROIT PISTONS,81,1,1233,194,384,0,2,126,165,140,244,51,21,52,67,151,6.6,3.2,-0.2,0.3,22.5,1.7,0.43,-0.5,11.9,2.4,17.8,0.9,0.005,17.0,0.563,12.8,18.5,0.6,4.1,0.158,110,180,.611,74,.673,
bazemke01,Kent Bazemore,SMALL FORWARD,26,ATLANTA HAWKS,75,68,2083,320,725,109,305,123,151,28,351,171,98,38,138,176,12.7,1.4,0.3,1.5,18.0,3.8,0.20800000000000002,-1.2,1.5,0.3,13.4,2.3,0.42100000000000004,9.9,0.551,14.8,20.0,1.2,4.1,0.094,191,327,.584,111,.581,.912
bealbr01,Bradley Beal,SHOOTING GUARD,22,WASHINGTON WIZARDS,55,35,1708,359,799,105,271,135,176,41,147,162,54,11,112,117,15.6,0.5,0.3,-0.9,9.8,1.3,0.22,1.2,2.6,1.4,15.5,1.5,0.33899999999999997,6.2,0.547,11.3,25.3,1.0,2.7,0.076,117,183,.639,56,.479,.800
belinma01,Marco Belinelli,SHOOTING GUARD,29,SACRAMENTO KINGS,68,7,1672,245,635,91,297,115,138,10,107,127,37,2,80,91,11.1,0.1,-3.8,-1.7,6.9,0.3,0.217,-2.1,0.7,0.2,9.4,1.1,0.46799999999999997,3.8,0.5,10.3,19.7,-0.8,0.5,0.013999999999999999,33,43,.767,24,.727,.912
