slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,rimFG,rimFGA,rimFG%,rimAst'd,rim%Ast'd,3pt%Ast'd
beverpa01,Patrick Beverley,POINT GUARD,27,HOUSTON ROCKETS,71,63,2041,258,594,124,310,60,88,73,177,239,94,26,91,234,17.9,1.1,0.2,0.1,9.6,1.3,0.14800000000000002,0.0,3.9,3.1,13.0,2.3,0.522,6.8,0.5529999999999999,12.6,15.3,1.1,4.4,0.102,70,124,.565,26,.371,.843
biyombi01,Bismack Biyombo,CENTER,23,TORONTO RAPTORS,82,22,1808,156,288,0,1,142,226,182,473,29,19,133,71,225,2.4,6.1,-0.2,1.1,29.5,3.1,0.785,-1.3,11.7,2.8,14.9,0.5,0.003,20.8,0.586,15.5,11.5,0.8,5.9,0.156,154,236,.653,116,.753,
bjeline01,Nemanja Bjelica,POWER FORWARD,27,MINNESOTA TIMBERWOLVES,60,0,1075,110,235,48,125,40,55,49,161,83,26,21,47,154,11.4,1.6,-0.7,0.2,17.2,0.6,0.23399999999999999,-0.9,5.4,1.4,11.2,1.2,0.532,11.4,0.594,15.3,12.8,0.3,1.9,0.087,48,66,.727,34,.708,.896
bledser01,Eric Bledsoe,POINT GUARD,26,PHOENIX SUNS,31,31,1059,223,492,48,129,138,172,18,107,190,63,19,110,75,31.8,1.5,3.3,0.8,11.2,1.0,0.35,2.5,1.8,1.6,20.0,2.9,0.262,6.4,0.557,16.2,27.2,1.4,2.5,0.11599999999999999,76,130,.585,16,.211,.479
bogdabo02,Bojan Bogdanović,SMALL FORWARD,26,BROOKLYN NETS,79,39,2115,324,749,129,338,110,132,36,219,99,29,5,115,119,7.3,0.2,-3.5,-2.6,11.8,0.0,0.17600000000000002,-1.0,1.9,0.9,10.7,0.7,0.451,6.8,0.55,12.5,19.4,-0.8,0.9,0.021,116,193,.601,78,.672,.907
bogutan01,Andrew Bogut,CENTER,31,GOLDEN STATE WARRIORS,70,66,1451,175,279,1,1,24,50,121,371,162,33,114,83,221,14.8,5.8,2.4,3.2,26.0,2.9,0.179,-0.9,9.5,2.6,15.9,1.1,0.004,18.3,0.623,21.6,11.4,1.6,5.4,0.18,181,241,.751,134,.740,.000
bookede01,Devin Booker,SHOOTING GUARD,19,PHOENIX SUNS,76,51,2108,367,867,99,289,215,256,27,160,200,44,20,160,225,15.8,0.8,-2.8,-1.7,8.4,0.7,0.295,-1.2,1.4,1.2,11.9,1.0,0.33299999999999996,4.8,0.535,14.0,23.0,-0.5,1.9,0.043,118,184,.641,62,.525,.788
booketr01,Trevor Booker,POWER FORWARD,28,UTAH JAZZ,79,2,1632,190,388,12,41,71,106,166,286,84,59,41,81,169,8.2,2.1,0.0,1.0,20.4,2.6,0.273,-1.0,11.9,1.8,14.4,1.9,0.106,16.2,0.5329999999999999,15.7,14.6,0.8,4.3,0.128,148,233,.635,89,.601,1.000
boshch01,Chris Bosh,POWER FORWARD,31,MIAMI HEAT,53,53,1778,358,767,81,222,213,268,48,342,128,36,34,78,101,12.1,1.5,4.0,0.5,21.1,2.3,0.349,3.6,3.2,4.1,20.2,1.0,0.289,12.4,0.5710000000000001,8.1,24.7,2.7,6.4,0.172,113,158,.715,60,.531,.975
bradlav01,Avery Bradley,SHOOTING GUARD,25,BOSTON CELTICS,76,72,2536,456,1019,147,407,96,123,48,172,158,117,19,109,164,9.8,0.6,-0.1,0.3,7.3,2.8,0.121,-0.4,2.0,2.0,13.2,2.2,0.39899999999999997,4.6,0.5379999999999999,9.2,19.8,1.2,4.8,0.09,160,223,.717,105,.656,.912
breweco01,Corey Brewer,SMALL FORWARD,29,HOUSTON ROCKETS,82,12,1669,212,552,61,224,105,140,42,157,109,84,19,78,168,10.0,0.9,-2.9,-0.3,10.4,1.2,0.254,-2.7,2.8,0.1,9.9,2.5,0.406,6.6,0.48100000000000004,11.3,17.8,-0.4,1.2,0.035,112,189,.593,81,.723,.952
brookaa01,Aaron Brooks,POINT GUARD,31,CHICAGO BULLS,69,0,1108,188,469,66,185,49,64,21,80,180,30,10,82,132,26.0,0.7,-2.6,-1.3,7.5,0.7,0.136,-1.3,2.0,0.2,11.8,1.4,0.39399999999999996,4.8,0.494,14.2,22.9,-0.2,0.9,0.04,52,111,.468,4,.077,.576
bryanko01,Kobe Bryant,SMALL FORWARD,37,LOS ANGELES LAKERS,66,66,1863,398,1113,133,467,232,281,41,206,184,62,13,129,115,19.1,0.5,-1.6,-2.4,12.3,0.5,0.252,0.9,2.3,-0.9,14.9,1.7,0.42,7.1,0.469,9.4,32.2,0.2,-0.4,-0.01,67,104,.644,23,.343,.692
burketr01,Trey Burke,POINT GUARD,23,UTAH JAZZ,64,0,1366,262,634,88,256,67,82,18,94,148,35,6,80,86,19.7,0.4,-0.5,-1.2,8.0,1.2,0.129,0.7,1.5,0.9,14.0,1.4,0.40399999999999997,4.8,0.507,10.7,25.3,0.5,2.1,0.07400000000000001,53,101,.525,10,.189,.909
butleji01,Jimmy Butler,SHOOTING GUARD,26,CHICAGO BULLS,67,67,2474,470,1035,64,205,395,475,79,279,321,110,43,132,124,21.4,1.3,4.4,1.2,11.6,2.7,0.45899999999999996,3.2,3.4,6.5,21.3,2.2,0.198,7.6,0.562,9.6,24.4,3.9,9.1,0.177,218,324,.673,114,.523,.719
caldejo01,José Calderón,POINT GUARD,34,NEW YORK KNICKS,72,72,2024,209,455,84,203,42,48,22,207,298,63,7,87,135,22.3,0.3,-0.6,0.1,11.0,1.4,0.105,-0.8,1.2,2.7,12.3,1.6,0.446,6.2,0.5710000000000001,15.4,12.6,0.7,4.0,0.096,29,45,.644,10,.345,.869
caldwke01,Kentavious Caldwell-Pope,SHOOTING GUARD,22,DETROIT PISTONS,76,76,2789,403,960,114,369,185,228,70,212,138,110,17,105,167,7.8,0.5,-0.3,0.8,8.6,2.7,0.23800000000000002,-1.1,2.6,2.6,12.4,2.0,0.384,5.5,0.521,9.0,18.2,1.2,5.3,0.092,145,227,.639,86,.593,.849
canaais01,Isaiah Canaan,SHOOTING GUARD,24,PHILADELPHIA 76ERS,77,39,1966,260,722,176,485,150,180,20,154,137,56,12,91,133,11.3,0.5,-2.4,-1.6,8.8,0.5,0.249,-0.8,1.1,0.9,11.1,1.4,0.672,4.8,0.528,10.2,19.9,-0.2,1.4,0.035,46,94,.489,21,.457,.744
capelca01,Clint Capela,CENTER,21,HOUSTON ROCKETS,77,35,1471,231,397,0,1,80,211,194,300,47,59,92,60,190,5.1,5.2,-0.4,-0.1,22.7,2.0,0.531,-0.3,14.4,2.4,18.3,2.0,0.003,18.5,0.5529999999999999,10.9,16.1,0.6,4.4,0.14400000000000002,208,317,.656,139,.668,
cartevi01,Vince Carter,SHOOTING GUARD,39,MEMPHIS GRIZZLIES,60,3,1005,133,343,59,169,70,84,31,115,56,38,16,35,101,8.9,1.5,-1.0,-0.6,13.6,0.8,0.245,-0.4,3.4,1.0,12.7,1.9,0.493,8.3,0.52,8.4,18.5,0.3,1.8,0.084,42,80,.525,23,.548,.864
cartemi01,Michael Carter-Williams,POINT GUARD,24,MILWAUKEE BUCKS,54,37,1649,251,555,15,55,106,162,48,228,281,80,41,153,162,26.6,2.1,-0.7,0.6,15.7,1.6,0.292,-1.4,3.4,-0.4,13.9,2.5,0.099,9.6,0.49700000000000005,19.6,21.3,0.5,1.2,0.035,111,195,.569,49,.441,.733
casspom01,Omri Casspi,POWER FORWARD,27,SACRAMENTO KINGS,69,21,1880,299,622,112,274,103,159,58,352,95,56,17,94,154,7.5,0.7,0.1,-0.2,20.1,1.5,0.256,0.4,3.4,2.1,13.9,1.4,0.441,11.8,0.5870000000000001,12.0,17.8,1.0,3.6,0.092,115,174,.661,80,.696,.857
caulewi01,Willie Cauley-Stein,CENTER,22,SACRAMENTO KINGS,66,39,1412,191,339,0,2,81,125,134,218,37,48,66,46,146,3.8,3.8,-0.8,0.1,16.6,1.4,0.369,-0.8,10.3,2.4,15.3,1.6,0.006,13.5,0.588,10.5,13.2,0.4,3.8,0.13,136,204,.667,106,.779,
chalmma01,Mario Chalmers,POINT GUARD,29,MEMPHIS GRIZZLIES,55,7,1253,172,412,45,138,206,249,23,120,211,80,12,101,165,27.0,0.9,1.7,1.1,11.4,1.3,0.604,0.6,2.0,2.4,18.0,3.3,0.335,6.5,0.57,16.2,22.3,1.2,3.7,0.141,75,142,.528,14,.187,.739
chandty01,Tyson Chandler,CENTER,33,PHOENIX SUNS,66,60,1618,183,314,0,1,106,171,175,401,64,36,44,93,145,6.0,2.2,-1.1,-0.2,27.5,1.6,0.545,-0.8,11.5,2.1,14.7,1.1,0.003,19.3,0.606,19.3,12.7,0.4,3.8,0.11199999999999999,165,241,.685,109,.661,
clarkjo01,Jordan Clarkson,SHOOTING GUARD,23,LOS ANGELES LAKERS,79,79,2552,475,1098,111,320,164,204,93,220,192,88,7,135,168,13.8,0.2,-1.6,-1.5,9.6,0.4,0.18600000000000003,-0.1,3.8,1.7,14.3,1.7,0.29100000000000004,6.6,0.516,10.2,22.8,0.2,2.1,0.039,155,287,.540,61,.394,.757
coleno01,Norris Cole,POINT GUARD,27,NEW ORLEANS PELICANS,45,23,1198,196,484,33,102,52,65,10,141,167,37,5,75,102,22.0,0.3,-3.8,-0.9,13.5,0.5,0.134,-2.9,0.9,-0.6,10.8,1.5,0.21100000000000002,7.0,0.465,12.8,21.7,-0.5,-0.1,-0.004,50,101,.495,17,.340,.879
collida01,Darren Collison,POINT GUARD,28,SACRAMENTO KINGS,74,15,2219,377,776,87,217,194,226,28,141,318,76,4,130,142,21.7,0.1,0.1,-0.8,6.8,0.7,0.29100000000000004,0.9,1.4,4.5,15.9,1.6,0.28,4.1,0.591,12.9,19.2,1.2,5.2,0.113,136,211,.645,70,.515,.770
conlemi01,Mike Conley,POINT GUARD,28,MEMPHIS GRIZZLIES,56,56,1761,294,696,78,215,191,229,26,138,342,67,16,84,100,32.7,0.8,3.0,-0.5,9.3,1.1,0.32899999999999996,3.5,1.6,4.2,19.4,2.0,0.309,5.3,0.5379999999999999,9.5,22.4,2.2,5.3,0.145,99,182,.544,24,.242,.782
couside01,DeMarcus Cousins,CENTER,25,SACRAMENTO KINGS,65,65,2246,601,1332,70,210,476,663,158,589,214,101,92,249,236,17.0,3.3,3.3,0.6,28.2,3.3,0.498,2.7,7.7,2.4,23.6,2.2,0.158,18.0,0.5379999999999999,13.3,35.4,3.0,5.7,0.122,285,479,.595,165,.579,1.000
covinro01,Robert Covington,SMALL FORWARD,25,PHILADELPHIA 76ERS,67,49,1903,274,712,170,482,140,177,65,354,97,105,40,143,232,8.4,1.6,-0.9,0.1,20.9,2.1,0.249,-1.1,3.6,-0.1,13.2,2.7,0.677,12.0,0.5429999999999999,15.3,21.5,0.5,2.0,0.05,80,135,.593,46,.575,.947
crabbal01,Allen Crabbe,SHOOTING GUARD,23,PORTLAND TRAIL BLAZERS,81,8,2105,311,678,112,285,98,113,27,189,99,63,16,64,192,7.2,0.6,-1.0,-0.1,9.7,1.2,0.16699999999999998,-0.9,1.4,3.1,12.2,1.5,0.42,5.6,0.5720000000000001,8.1,16.4,0.5,4.3,0.098,70,99,.707,53,.757,.969
crawfja01,Jamal Crawford,SHOOTING GUARD,35,LOS ANGELES CLIPPERS,79,5,2126,379,939,117,344,245,271,20,125,183,52,12,113,122,14.0,0.4,-1.4,-1.5,6.3,1.5,0.289,0.1,1.0,1.8,14.0,1.2,0.366,3.7,0.529,9.6,24.9,0.3,3.3,0.076,64,103,.621,17,.266,.744
crowdja01,Jae Crowder,SMALL FORWARD,25,BOSTON CELTICS,73,73,2308,360,813,122,363,196,239,70,303,135,126,35,83,198,8.9,1.2,2.2,1.4,14.2,3.5,0.294,0.8,3.2,3.8,15.8,2.7,0.446,8.6,0.565,8.3,18.5,2.5,7.3,0.152,166,238,.697,124,.747,.939
cunnida01,Dante Cunningham,SMALL FORWARD,28,NEW ORLEANS PELICANS,80,46,1971,186,412,55,174,57,82,57,179,77,42,33,41,173,5.6,1.4,-2.8,-0.5,10.4,0.7,0.19899999999999998,-2.3,3.1,1.5,8.6,1.1,0.42200000000000004,6.6,0.54,8.4,11.0,-0.4,2.1,0.052000000000000005,86,122,.705,74,.860,1.000
curryst01,Stephen Curry,POINT GUARD,27,GOLDEN STATE WARRIORS,79,79,2700,805,1598,402,886,363,400,68,362,527,169,15,262,161,33.7,0.4,11.9,1.6,13.6,4.1,0.25,10.3,2.9,13.8,31.5,3.0,0.5539999999999999,8.6,0.669,12.9,32.6,9.5,17.9,0.318,285,423,.674,112,.393,.539
davisan02,Anthony Davis,CENTER,22,NEW ORLEANS PELICANS,61,61,2164,560,1136,35,108,326,430,130,497,116,78,125,121,148,10.0,4.7,3.9,0.4,26.4,2.8,0.379,3.6,6.4,4.4,25.0,1.8,0.095,16.1,0.5589999999999999,8.4,29.6,3.2,7.2,0.16,237,340,.697,171,.722,.943
davised01,Ed Davis,POWER FORWARD,26,PORTLAND TRAIL BLAZERS,81,0,1684,206,337,0,0,114,204,224,375,88,57,72,64,202,7.7,3.3,1.9,0.9,24.2,2.3,0.605,1.0,14.4,4.4,18.7,1.7,0.0,19.3,0.616,13.0,12.7,1.6,6.7,0.192,181,276,.656,99,.547,
dellama01,Matthew Dellavedova,POINT GUARD,25,CLEVELAND CAVALIERS,76,14,1867,207,511,98,239,57,66,33,129,337,44,9,116,178,26.2,0.4,-1.2,-0.5,7.8,1.6,0.129,-0.7,2.0,2.2,11.3,1.2,0.46799999999999997,4.9,0.527,17.7,15.9,0.4,3.8,0.098,27,56,.482,11,.407,.811
denglu01,Luol Deng,POWER FORWARD,30,MIAMI HEAT,74,73,2394,339,745,88,256,145,192,108,335,140,74,29,81,122,9.0,0.9,0.8,0.2,15.4,2.8,0.258,0.7,5.3,3.5,15.0,1.6,0.344,10.5,0.5489999999999999,8.9,17.4,1.7,6.4,0.128,172,261,.659,102,.593,1.000
derozde01,DeMar DeRozan,SHOOTING GUARD,26,TORONTO RAPTORS,78,78,2804,614,1377,47,139,555,653,64,285,315,81,21,175,167,20.8,0.6,2.5,-0.7,11.5,2.4,0.474,3.2,2.7,7.5,21.5,1.5,0.10099999999999999,7.1,0.55,9.5,29.8,3.2,9.9,0.16899999999999998,223,364,.613,76,.341,.843
diawbo01,Boris Diaw,POWER FORWARD,33,SAN ANTONIO SPURS,76,4,1386,202,383,25,69,56,76,58,175,176,26,21,97,102,18.4,1.2,0.8,0.9,13.9,2.2,0.198,-0.1,4.9,1.6,14.0,1.0,0.18,9.6,0.5820000000000001,18.9,17.0,1.0,3.8,0.132,109,169,.645,61,.560,.963
dienggo01,Gorgui Dieng,CENTER,26,MINNESOTA TIMBERWOLVES,82,39,2220,308,579,6,20,205,248,157,428,143,94,96,140,219,10.1,3.5,0.8,0.8,22.1,2.5,0.428,-0.1,8.3,3.4,17.1,2.1,0.035,15.3,0.601,16.9,16.7,1.5,5.9,0.127,159,224,.710,111,.698,1.000
douglto01,Toney Douglas,POINT GUARD,29,NEW ORLEANS PELICANS,61,18,1262,183,445,81,203,84,99,25,118,157,70,5,64,131,19.1,0.3,0.0,0.4,10.7,0.9,0.222,-0.4,2.1,1.6,14.7,2.8,0.456,6.3,0.5429999999999999,11.6,19.4,0.6,2.5,0.094,52,89,.584,22,.423,.679
dragigo01,Goran Dragić,POINT GUARD,29,MIAMI HEAT,72,72,2363,417,875,64,205,120,165,54,223,419,71,17,185,188,28.7,0.6,-0.4,-0.5,10.4,2.3,0.18899999999999997,0.1,2.7,2.4,15.5,1.5,0.23399999999999999,6.6,0.537,16.3,21.9,1.0,4.7,0.096,226,351,.644,70,.310,.700
drumman01,Andre Drummond,CENTER,22,DETROIT PISTONS,81,81,2666,552,1060,2,6,208,586,395,803,67,119,112,155,245,4.4,3.2,1.1,0.3,34.2,5.5,0.5529999999999999,0.8,15.6,2.0,21.2,2.3,0.006,24.5,0.499,10.5,24.1,2.0,7.4,0.133,402,656,.613,212,.527,.000
dudleja01,Jared Dudley,POWER FORWARD,30,WASHINGTON WIZARDS,81,41,2098,233,487,100,238,72,98,54,232,170,75,18,80,190,11.4,0.7,-0.1,0.7,12.6,2.0,0.201,-0.8,2.8,2.6,11.7,1.7,0.489,7.6,0.602,13.1,12.7,1.0,4.6,0.105,47,62,.758,36,.766,1.000
duncati01,Tim Duncan,CENTER,39,SAN ANTONIO SPURS,61,60,1536,215,441,0,2,92,131,115,332,163,47,78,90,125,15.3,3.9,3.0,3.1,23.8,3.6,0.297,-0.1,8.8,1.6,16.9,1.6,0.005,16.6,0.523,15.3,17.6,2.0,5.2,0.163,109,172,.634,79,.725,
duranke01,Kevin Durant,SMALL FORWARD,27,OKLAHOMA CITY THUNDER,72,72,2578,698,1381,186,481,447,498,45,544,361,69,85,250,137,24.2,2.5,9.9,1.6,21.8,3.5,0.361,8.4,2.0,11.0,28.2,1.3,0.348,12.4,0.634,13.5,30.6,7.8,14.5,0.27,264,368,.717,164,.621,.654
ellinwa01,Wayne Ellington,SHOOTING GUARD,28,BROOKLYN NETS,76,41,1615,218,561,96,268,54,63,20,154,83,48,5,45,82,7.8,0.3,-2.8,-1.3,10.9,0.3,0.11199999999999999,-1.5,1.4,0.5,10.1,1.5,0.478,6.1,0.498,7.1,17.5,-0.3,0.8,0.025,42,69,.609,29,.690,.865
ellismo01,Monta Ellis,SHOOTING GUARD,30,INDIANA PACERS,81,81,2734,436,1021,87,282,162,206,42,229,383,150,37,203,174,22.2,1.1,0.1,1.1,9.1,3.9,0.20199999999999999,-1.0,1.7,0.4,13.7,2.7,0.276,5.4,0.504,15.4,21.2,1.5,4.3,0.075,158,266,.594,45,.285,.702
