slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,height,weight,per game FG,per game FGA,per game 3P,per game 3PA,per game 2P,per game 2PA,per game FT,per game FTA,per game ORB,per game DRB,per game TRB,per game AST,per game STL,per game BLK,per game TOV,per game PF,per game PTS,At Rim FG,At Rim FGA,At Rim FG%,At Rim Ast'd,At Rim %Ast'd,3 to <10 ft FG,3 to <10 ft FGA,3 to <10 ft FG%,3 to <10 ft Ast'd,3 to <10 ft %Ast'd,10 to <16 ft FG,10 to <16 ft FGA,10 to <16 ft FG%,10 to <16 ft Ast'd,10 to <16 ft %Ast'd,16 ft to <3-pt FG,16 ft to <3-pt FGA,16 ft to <3-pt FG%,16 ft to <3-pt Ast'd,16 ft to <3-pt %Ast'd,3-pt FG,3-pt FGA,3-pt FG%,3-pt Ast'd,3-pt %Ast'd
abrinal01,Álex Abrines,SHOOTING GUARD,23,OKLAHOMA CITY THUNDER,68,6,1055,134,341,94,247,44,49,18,68,40,37,8,33,114,5.5,0.6,-1.6,-0.4,7.1,0.9,0.14400000000000002,-1.3,1.9,1.2,10.1,1.7,0.7240000000000001,4.5,0.56,8.3,15.9,0.1,2.1,0.096,78,200,2.0,5.0,1.4,3.6,0.6,1.4,0.6,0.7,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0,22,46,.478,12,.545,7,16,.438,3,.429,5,15,.333,3,.600,9,23,.391,8,.889,99,264,.375,96,.970
acyqu01,Quincy Acy,POWER FORWARD,26,BROOKLYN NETS,32,1,510,65,153,36,83,43,57,18,89,18,14,15,19,58,5.4,2.2,-0.9,-0.2,18.2,0.5,0.373,-0.6,3.8,0.6,13.1,1.3,0.542,11.1,0.5870000000000001,9.6,16.5,0.1,1.1,0.102,79,240,2.0,4.8,1.1,2.6,0.9,2.2,1.3,1.8,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,6.5,22,45,.489,18,.818,3,11,.273,2,.667,4,13,.308,2,.500,4,10,.400,2,.500,37,91,.407,36,.973
adamsst01,Steven Adams,CENTER,23,OKLAHOMA CITY THUNDER,80,80,2389,374,655,0,1,157,257,281,332,86,89,78,146,195,5.4,2.6,-0.2,0.0,15.4,3.1,0.392,-0.2,13.0,3.3,16.5,1.8,0.002,14.2,0.589,16.0,16.2,1.1,6.5,0.13,83,265,4.7,8.2,0.0,0.0,4.7,8.2,2.0,3.2,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3,250,378,.661,169,.676,130,266,.489,83,.638,12,33,.364,9,.750,0,3,.000,0,,0,2,.000,0,
afflaar01,Arron Afflalo,SHOOTING GUARD,31,SACRAMENTO KINGS,61,45,1580,185,420,62,151,83,93,9,116,78,21,6,42,104,7.4,0.3,-3.6,-1.5,8.4,0.2,0.221,-2.1,0.7,1.2,8.9,0.7,0.36,4.6,0.5589999999999999,8.4,14.4,-0.7,1.4,0.043,77,210,3.0,6.9,1.0,2.5,2.0,4.4,1.4,1.5,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4,24,42,.571,14,.583,22,49,.449,7,.318,35,78,.449,15,.429,42,99,.424,26,.619,62,151,.411,60,.968
ajincal01,Alexis Ajinça,CENTER,28,NEW ORLEANS PELICANS,39,15,584,89,178,0,4,29,40,46,131,12,20,22,31,77,3.1,3.1,-3.3,0.7,23.8,0.9,0.225,-4.0,8.3,0.0,12.9,1.7,0.022000000000000002,16.0,0.529,13.7,17.2,-0.2,1.0,0.08,86,248,2.3,4.6,0.0,0.1,2.3,4.5,0.7,1.0,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,5.3,44,62,.710,34,.773,17,45,.378,13,.765,11,19,.579,9,.818,17,48,.354,17,1.000,0,4,.000,0,
aldrico01,Cole Aldrich,CENTER,28,MINNESOTA TIMBERWOLVES,62,0,531,45,86,0,0,15,22,51,107,25,25,23,17,85,6.4,3.7,-0.8,1.5,23.9,0.7,0.256,-2.3,11.0,0.6,12.7,2.4,0.0,17.4,0.5489999999999999,15.1,9.4,0.2,1.3,0.11599999999999999,83,250,0.7,1.4,0.0,0.0,0.7,1.4,0.2,0.4,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,32,50,.640,23,.719,13,35,.371,10,.769,0,1,.000,0,,,,,,,,,,,
aldrila01,LaMarcus Aldridge,POWER FORWARD,31,SAN ANTONIO SPURS,72,72,2335,500,1049,23,56,220,271,172,351,139,46,88,98,158,9.9,3.0,0.8,0.1,16.6,3.7,0.258,0.7,8.5,3.5,18.6,1.0,0.053,12.7,0.532,7.7,24.5,1.7,7.2,0.149,83,260,6.9,14.6,0.3,0.8,6.6,13.8,3.1,3.8,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,208,295,.705,108,.519,110,253,.435,35,.318,103,269,.383,44,.427,164,401,.409,146,.890,25,70,.357,24,.960
allenla01,Lavoy Allen,POWER FORWARD,27,INDIANA PACERS,61,5,871,77,168,0,1,23,33,105,114,57,18,24,29,78,9.1,2.4,-1.7,-0.2,14.5,0.8,0.196,-1.5,13.7,0.9,11.6,1.0,0.006,14.1,0.485,13.7,10.9,0.1,1.7,0.09300000000000001,81,260,1.3,2.8,0.0,0.0,1.3,2.7,0.4,0.5,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9,35,60,.583,17,.486,20,43,.465,18,.900,2,10,.200,2,1.000,20,54,.370,20,1.000,0,1,.000,0,
allento01,Tony Allen,SHOOTING GUARD,35,MEMPHIS GRIZZLIES,71,66,1914,274,595,15,54,80,130,166,225,98,115,29,100,178,8.4,1.4,-1.0,1.1,13.8,2.9,0.218,-2.0,9.6,0.2,13.3,3.1,0.091,11.7,0.493,13.3,17.9,0.5,3.1,0.077,76,213,3.9,8.4,0.2,0.8,3.6,7.6,1.1,1.8,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,215,387,.556,118,.549,28,100,.280,9,.321,6,18,.333,6,1.000,10,36,.278,10,1.000,15,54,.278,15,1.000
aminual01,Al-Farouq Aminu,POWER FORWARD,26,PORTLAND TRAIL BLAZERS,61,25,1773,183,466,70,212,96,136,77,374,99,60,44,94,102,7.9,2.0,-1.1,0.4,23.5,2.0,0.292,-1.4,4.8,-0.1,11.3,1.7,0.455,14.1,0.506,15.2,15.4,0.4,1.9,0.051,80,220,3.0,7.6,1.1,3.5,1.9,4.2,1.6,2.2,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7,86,159,.541,37,.430,19,67,.284,8,.421,5,16,.312,4,.800,13,31,.419,9,.692,77,230,.335,77,1.000
