slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,rimFG,rimFGA,rimFG%,rimAst'd,rim%Ast'd,3pt%Ast'd
acyqu01,Quincy Acy,POWER FORWARD,24,NEW YORK KNICKS,68,22,1287,152,331,18,60,76,97,79,222,68,27,22,60,147,8.7,1.4,-3.1,-1.0,20.5,0.7,0.293,-2.1,6.9,1.0,11.9,1.1,0.18100000000000002,13.5,0.5329999999999999,13.8,15.5,-0.3,1.7,0.063,66,98,.673,43,.652,1.000
adamsst01,Steven Adams,CENTER,21,OKLAHOMA CITY THUNDER,70,67,1771,217,399,0,2,103,205,199,324,66,38,86,99,222,5.5,3.8,-1.3,0.2,19.3,2.2,0.514,-1.5,12.2,1.9,14.1,1.1,0.005,15.8,0.5489999999999999,16.8,14.3,0.3,4.1,0.111,155,241,.643,104,.671,
afflaar01,Arron Afflalo,SHOOTING GUARD,29,DENVER NUGGETS,53,53,1750,281,657,82,243,127,151,21,159,101,32,5,83,108,9.3,0.2,-1.9,-1.2,10.2,0.4,0.23,-0.7,1.3,1.4,11.7,0.9,0.37,5.6,0.5329999999999999,10.3,19.9,0.1,1.8,0.05,63,111,.568,40,.635,.958
aldrila01,LaMarcus Aldridge,POWER FORWARD,29,PORTLAND TRAIL BLAZERS,71,71,2512,659,1415,37,105,306,362,177,549,124,48,68,122,125,9.2,1.9,2.9,-0.3,22.9,3.7,0.256,3.2,7.7,4.9,22.8,1.0,0.07400000000000001,15.5,0.528,7.2,30.2,3.1,8.6,0.165,210,311,.675,91,.433,.925
allenla01,Lavoy Allen,CENTER,25,INDIANA PACERS,63,0,1070,141,299,0,0,33,47,123,200,73,15,42,40,102,10.9,3.1,0.0,0.5,20.5,1.6,0.157,-0.5,12.8,1.3,14.9,0.7,0.0,16.7,0.493,11.1,15.2,0.6,2.8,0.127,67,95,.705,28,.418,0
allento01,Tony Allen,SHOOTING GUARD,33,MEMPHIS GRIZZLIES,63,41,1648,225,455,10,29,79,126,103,177,86,129,30,86,166,8.1,1.5,1.6,3.1,12.2,3.2,0.27699999999999997,-1.5,7.2,0.9,14.6,4.1,0.064,9.7,0.528,14.4,16.6,1.5,4.1,0.11900000000000001,198,349,.567,122,.616,1.000
aminual01,Al-Farouq Aminu,SMALL FORWARD,24,DALLAS MAVERICKS,74,3,1366,147,357,34,124,84,118,114,228,59,70,62,55,137,6.1,3.7,0.7,1.5,18.4,2.0,0.331,-0.7,9.1,1.2,14.4,2.6,0.34700000000000003,13.7,0.504,11.9,15.2,1.0,3.3,0.115,99,158,.627,68,.687,1.000
anderch01,Chris Andersen,CENTER,36,MIAMI HEAT,60,20,1132,120,207,4,13,76,114,76,223,43,26,61,40,88,6.1,4.6,1.1,1.0,23.2,1.5,0.551,0.0,8.2,2.1,16.1,1.2,0.063,15.9,0.622,13.5,12.3,0.9,3.6,0.151,98,146,.671,78,.796,1.000
anderal01,Alan Anderson,SHOOTING GUARD,32,BROOKLYN NETS,74,19,1744,195,440,73,210,82,101,31,173,83,56,5,60,148,7.2,0.2,-1.5,0.2,11.1,1.1,0.23,-1.7,2.0,1.7,10.6,1.7,0.47700000000000004,6.6,0.563,11.0,14.2,0.2,2.7,0.075,77,110,.700,43,.558,.831
anderry01,Ryan Anderson,POWER FORWARD,26,NEW ORLEANS PELICANS,61,5,1675,291,729,122,359,129,151,108,187,55,33,20,62,113,5.4,0.9,-0.3,-2.1,12.7,0.9,0.207,1.8,7.3,2.6,15.6,1.0,0.49200000000000005,10.0,0.524,7.2,23.4,0.7,3.5,0.1,91,167,.545,37,.407,.945
antetgi01,Giannis Antetokounmpo,SHOOTING GUARD,20,MILWAUKEE BUCKS,81,71,2541,383,780,7,44,257,347,100,442,207,73,85,173,254,13.1,2.8,0.0,1.2,19.7,4.0,0.445,-1.2,4.5,2.2,14.8,1.5,0.055999999999999994,12.2,0.552,15.6,19.6,1.2,6.2,0.11699999999999999,272,428,.636,155,.570,.857
anthoca01,Carmelo Anthony,SMALL FORWARD,30,NEW YORK KNICKS,40,40,1428,358,806,61,179,189,237,72,192,122,40,17,89,87,18.0,1.0,3.0,-1.9,16.0,0.6,0.294,4.9,5.7,2.2,21.5,1.5,0.222,10.7,0.531,8.9,32.2,1.8,2.9,0.09699999999999999,104,178,.584,40,.385,.787
anticpe01,Pero Antić,CENTER,32,ATLANTA HAWKS,63,3,1037,108,296,52,173,88,123,58,131,49,18,14,49,132,6.9,1.1,-4.1,-1.2,14.0,1.0,0.41600000000000004,-3.0,6.6,0.5,9.5,0.9,0.584,10.4,0.508,12.3,17.6,-0.6,1.5,0.07,44,85,.518,28,.636,1.000
arizatr01,Trevor Ariza,SMALL FORWARD,29,HOUSTON ROCKETS,82,82,2930,366,910,194,555,122,143,77,382,209,152,17,141,186,11.1,0.5,1.0,1.1,14.4,3.9,0.157,-0.1,2.9,2.7,12.7,2.6,0.61,8.6,0.539,12.7,16.5,2.2,6.6,0.10800000000000001,159,250,.636,102,.642,.939
asikom01,Ömer Aşık,CENTER,28,NEW ORLEANS PELICANS,76,76,1982,213,412,0,0,131,225,244,504,72,29,54,95,144,5.4,2.1,-1.2,-0.9,28.8,2.2,0.546,-0.4,14.0,2.8,15.5,0.8,0.0,21.4,0.545,15.7,14.0,0.4,5.0,0.12,205,377,.544,140,.683,
augusdj01,D.J. Augustin,POINT GUARD,27,DETROIT PISTONS,54,13,1287,189,461,49,150,147,169,13,87,265,33,2,110,61,33.2,0.1,-0.5,-1.7,7.6,0.6,0.36700000000000005,1.2,1.1,2.0,15.8,1.3,0.325,4.2,0.536,17.0,22.2,0.5,2.5,0.094,97,162,.599,22,.227,.590
bareajo01,J.J. Barea,POINT GUARD,30,DALLAS MAVERICKS,77,10,1362,225,536,54,167,76,94,23,111,263,33,1,70,104,29.6,0.1,-0.3,-1.1,9.0,0.6,0.175,0.8,1.8,2.1,15.1,1.2,0.312,5.4,0.502,10.8,21.2,0.6,2.7,0.096,85,154,.552,18,.212,.638
