,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
Matt Barnes 2014,-0.863,-0.854,3.710,-1.215,-1.121,-0.224,0.078,1.216,-0.092,-1.143,-1.019,-0.585,0.291,-1.563,0.674,-0.971,0.370,-0.014,0.266,-0.064,0.127,-0.535,-0.347,-0.770
Brandon Bass 2014,3.329,3.568,-1.350,4.583,-1.225,1.256,0.027,-2.049,-1.328,1.480,0.837,-0.361,-1.269,2.261,0.703,-1.557,-1.584,-0.567,-0.103,-0.512,-0.934,0.139,-0.597,0.303
Shane Battier 2014,-5.508,-1.793,3.634,-1.775,-0.619,0.987,-1.503,0.785,0.695,1.021,2.058,1.452,0.989,0.248,1.277,-2.437,1.464,1.102,-0.250,0.569,-0.110,-0.358,-1.443,-0.029
Nicolas Batum 2014,5.624,-2.525,3.254,-2.181,-0.752,2.048,0.107,0.448,-2.356,-0.925,0.755,-1.708,0.646,0.874,1.316,1.670,0.022,-0.040,-1.125,0.940,0.851,0.985,0.254,0.432
Jerryd Bayless 2014,-2.882,-3.859,-2.116,1.384,0.098,0.874,1.499,-0.118,0.611,-0.428,-1.127,0.055,1.040,0.482,-0.426,-0.750,1.136,0.088,-0.224,-0.071,-0.065,0.561,0.356,-0.979
Kent Bazemore 2014,-3.096,-2.438,-2.935,-1.064,1.244,-1.332,2.673,1.188,1.628,0.261,-1.605,-0.869,0.565,-0.091,0.480,-0.840,-0.020,-0.758,0.202,0.877,0.142,0.164,0.837,-0.371
Bradley Beal 2014,4.782,-5.229,0.251,4.419,-2.372,0.784,1.519,-2.013,-0.038,0.071,-0.913,0.689,2.327,-0.027,0.113,1.232,1.705,-0.040,-1.003,-0.497,-0.235,0.890,0.600,-0.351
Michael Beasley 2014,-2.861,1.721,-1.087,2.116,1.518,-0.253,-0.150,0.445,0.753,-0.369,0.413,-0.821,-0.244,-0.259,-0.221,1.048,1.617,-0.939,1.287,-0.353,0.401,-0.024,-0.470,0.231
Marco Belinelli 2014,0.853,-3.297,3.183,1.848,0.718,1.851,-0.685,-1.678,-0.301,-0.863,-0.582,-0.830,0.369,-0.429,0.332,0.690,0.437,0.555,0.157,0.259,-0.535,0.578,1.025,-0.641
Anthony Bennett 2014,-6.995,1.518,-2.002,1.114,-2.350,-1.346,2.897,-1.157,-0.187,0.056,0.412,0.324,-1.054,-0.165,0.004,1.635,0.522,0.016,0.411,0.494,-0.734,-0.278,0.007,0.217
Patrick Beverley 2014,-0.905,-3.093,0.725,-3.092,-0.891,0.164,-0.822,1.343,1.148,0.194,-0.685,0.902,0.275,0.757,-1.442,-2.314,0.930,-1.671,-0.641,0.335,-0.626,-0.089,-0.356,-0.389
Bismack Biyombo 2014,-3.737,8.683,0.921,-2.301,1.103,0.455,-1.032,-1.192,-2.585,3.858,1.339,-0.052,0.980,0.941,0.668,0.966,1.835,0.840,-0.678,0.470,-0.110,0.955,1.307,0.569
DeJuan Blair 2014,-0.329,6.605,-1.105,-0.514,-0.259,-0.089,-3.108,0.554,0.005,0.259,-2.734,2.045,-1.158,-0.886,-0.524,0.902,0.276,-0.497,0.333,-0.389,-0.493,-0.968,0.982,-0.701
Steve Blake 2014,-3.888,-5.449,-2.915,-2.258,0.834,0.706,2.122,2.786,-1.104,-1.679,-0.004,-0.961,1.140,0.332,1.613,-0.858,-0.265,0.389,-1.103,0.011,-0.322,-0.525,0.574,0.325
Andray Blatche 2014,2.457,2.748,-1.736,0.697,-0.512,0.906,1.417,-1.385,0.967,-0.974,0.037,0.345,-0.378,-0.281,-0.092,0.420,1.162,-0.694,2.241,-0.448,0.033,-0.666,-0.381,-0.041
Eric Bledsoe 2014,3.465,-2.806,-4.332,-3.265,2.825,0.315,1.759,0.453,0.670,0.108,-0.887,-0.731,0.048,0.304,0.183,-0.521,0.793,-0.952,-0.057,0.996,0.612,0.164,0.500,-0.003
Andrew Bogut 2014,2.576,9.786,1.907,-2.685,-0.523,2.693,-0.462,2.776,-2.037,-0.355,-1.136,-1.119,1.819,1.494,-0.400,-0.295,-1.438,-0.251,0.596,0.671,1.417,1.369,0.050,-0.679
Matt Bonner 2014,-6.586,0.063,3.171,1.372,2.737,1.658,-1.242,1.183,0.402,-1.903,1.649,-0.514,-0.524,-1.537,-0.038,0.618,-0.903,-0.647,0.768,1.388,0.392,0.168,-0.145,0.014
Trevor Booker 2014,-0.677,5.385,-0.622,1.154,0.207,1.397,-1.693,-0.719,-0.742,-0.566,-1.172,1.259,1.389,0.300,-0.482,0.219,-0.861,-0.600,0.264,1.399,0.032,0.152,-0.083,0.120
Carlos Boozer 2014,5.856,4.425,-2.696,6.088,-3.682,1.495,1.196,-0.147,-1.788,-0.069,-0.749,2.132,-0.475,-0.050,3.028,0.504,-1.533,0.197,0.318,-0.827,0.253,-0.441,0.505,-2.557
Chris Bosh 2014,7.699,1.251,2.999,4.652,-1.122,2.358,1.357,-1.672,0.190,-0.561,-0.289,-0.639,0.959,-0.601,0.306,-0.483,0.995,-0.062,0.208,-0.728,1.000,0.808,0.892,-0.655
Avery Bradley 2014,0.820,-3.510,-1.146,3.605,-2.388,0.639,3.353,-2.201,0.779,-1.505,-1.339,0.449,2.592,-0.086,-0.568,-0.191,1.356,-0.802,0.237,0.316,-0.240,0.413,1.116,0.148
Elton Brand 2014,-0.535,6.250,-0.237,3.945,0.051,4.038,-1.670,1.981,-2.258,4.165,-0.519,0.286,-1.110,0.216,1.325,-0.669,-1.742,-0.429,-0.303,-0.686,0.299,-2.024,-0.388,-0.352
Corey Brewer 2014,2.509,-0.550,0.960,-2.602,-3.059,1.702,-0.503,-2.716,3.776,0.408,-2.046,0.229,-0.117,-1.650,0.670,-1.238,-0.814,-0.292,0.773,-0.038,0.317,0.016,-1.633,-0.110
Aaron Brooks 2014,-2.681,-4.255,-3.793,-1.370,1.051,-1.866,-0.024,2.317,0.238,-0.606,-0.442,-0.211,1.331,0.610,-0.487,-1.544,-0.559,-0.162,-0.608,-0.930,-0.513,-0.057,0.985,-0.259
Chase Budinger 2014,-6.297,-1.045,1.030,1.006,0.859,-0.885,0.990,-0.643,1.415,-0.527,0.352,0.195,0.100,-0.131,1.118,0.474,0.277,0.479,-0.441,1.285,-0.490,-0.538,-0.488,-0.197
Trey Burke 2014,0.331,-6.185,-2.619,1.272,-2.339,-1.885,0.052,-0.655,-1.606,-0.976,-0.253,-0.435,2.194,0.770,-0.750,0.739,0.349,-0.435,-1.278,0.034,-0.370,-0.157,0.021,0.661
Alec Burks 2014,2.897,-1.353,-2.874,-0.340,-0.590,-1.486,-0.008,-2.978,0.479,-0.055,-0.108,-1.052,-0.871,-0.716,-0.984,-0.448,1.590,-0.532,1.105,0.985,-0.060,-0.223,0.431,-0.098
Caron Butler 2014,-3.125,-2.920,-0.170,3.101,0.274,-0.807,3.672,1.656,-1.062,-0.585,0.031,0.977,0.167,0.182,0.936,-0.393,0.577,0.672,0.204,-1.125,0.456,-0.023,0.325,-0.026
Jimmy Butler 2014,3.266,-1.249,0.999,-1.835,-1.161,2.810,2.749,-2.349,1.714,0.873,-0.332,1.539,-1.971,-0.551,-0.384,-0.387,-0.563,1.132,-1.123,0.937,0.637,0.964,-0.192,0.640
Will Bynum 2014,-2.581,-2.248,-5.660,-1.371,0.425,-0.457,-0.400,-0.665,-0.569,-0.920,0.051,-0.646,1.166,-0.558,-0.247,-1.083,0.288,-0.237,1.063,-0.119,-0.678,-0.926,0.895,0.337
Nick Calathes 2014,-3.718,-0.621,-3.483,-2.258,-0.803,2.639,-1.346,0.562,0.894,0.244,0.081,-0.633,-0.814,-0.856,0.466,1.405,0.414,-0.572,0.798,-0.198,-0.260,0.413,0.232,-0.236
José Calderón 2014,0.810,-7.504,2.596,-0.675,0.294,1.922,-0.440,-0.984,-2.534,-1.635,-0.093,0.040,2.344,1.037,0.230,-0.769,0.098,-0.604,0.081,0.563,-1.401,0.827,-0.346,1.331
Kentavious Caldwell-Pope 2014,-4.406,-1.582,1.240,0.133,-2.377,1.041,-0.176,-1.955,2.240,0.475,-0.588,1.240,0.054,0.531,-0.563,0.207,0.355,-0.233,-0.185,0.749,0.167,-0.076,-0.646,-0.244
DeMarre Carroll 2014,1.667,-0.515,3.302,-2.051,-1.694,0.987,-0.227,-0.340,1.499,-1.364,-1.501,0.717,-0.171,-0.375,0.431,-0.692,-0.039,-1.017,-0.181,0.625,0.248,0.191,0.124,0.268
Vince Carter 2014,1.606,-4.007,1.071,-0.737,-0.110,-0.334,-0.307,0.635,-2.251,-0.279,1.062,1.139,0.012,-0.401,-1.340,-1.729,0.902,-0.831,2.060,-1.162,-0.546,-1.395,-0.607,0.153
