,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
Luis Scola 2014,-0.184,2.718,-1.836,5.709,-1.905,2.882,2.042,-1.684,-2.246,-2.700,0.417,-0.092,0.030,-1.324,-0.257,0.448,2.228,0.742,1.827,0.037,-0.314,0.027,1.369,-0.977
Mike Scott 2014,-0.686,0.922,2.062,2.798,0.209,-1.707,-2.003,-0.691,0.849,-1.138,-0.748,-0.557,-0.820,-1.165,0.388,1.734,0.015,0.764,0.150,-0.628,0.322,-0.830,0.954,-0.331
Thabo Sefolosha 2014,-3.294,-0.857,1.297,-1.533,-0.881,2.607,1.078,-0.253,1.259,-0.650,-0.402,0.968,-0.746,-0.043,0.449,-0.359,-1.171,0.459,-0.212,0.368,-0.121,0.549,-0.694,0.607
Kevin Séraphin 2014,-5.244,4.984,-2.243,2.937,0.825,-1.282,-1.939,1.057,-1.813,1.841,-0.617,0.172,0.568,-1.258,-0.588,1.327,-0.405,-1.126,0.766,0.991,-0.796,-0.091,-1.461,-0.328
Ramon Sessions 2014,-0.794,-1.213,-4.249,-0.660,1.515,-1.485,-0.436,-2.402,1.009,-0.441,1.077,-0.641,-0.741,-1.040,-0.383,-0.044,-0.742,1.722,0.107,-0.596,0.316,0.843,0.439,-0.056
Iman Shumpert 2014,-2.582,-2.334,-0.017,-1.916,-3.926,1.189,1.600,-0.067,-0.361,-0.577,-0.308,1.445,-0.126,1.240,-0.698,-0.512,0.300,-1.896,0.318,0.574,-0.550,-0.398,-0.118,0.009
Alexey Shved 2014,-6.762,-1.134,-2.051,-1.773,0.123,-0.559,1.113,-1.342,0.406,0.789,3.000,1.502,0.200,-1.038,-0.611,1.031,-0.167,1.101,-0.233,-0.858,-0.534,-0.439,0.026,0.171
Henry Sims 2014,-0.937,5.041,-2.919,1.219,2.628,-1.783,1.657,0.445,-0.565,0.752,-3.446,1.599,-0.596,0.528,-0.656,-1.165,0.187,-1.267,-1.676,0.501,-0.340,-0.580,-0.555,0.012
Kyle Singler 2014,-0.459,-0.233,3.019,0.056,-1.497,-0.692,-0.700,-1.815,-0.139,0.397,-0.806,-0.830,-0.799,0.160,-0.628,-1.409,0.542,-0.569,-0.301,0.154,-0.373,-0.335,-0.206,0.178
Ish Smith 2014,-5.110,-0.267,-5.547,-1.749,-0.266,1.744,-2.276,-0.073,-0.441,0.206,0.104,1.855,1.305,0.589,-1.111,0.978,-0.881,0.666,0.846,0.856,0.344,0.295,0.614,0.001
J.R. Smith 2014,1.827,-6.256,2.023,0.242,-1.452,-0.952,0.897,0.355,-1.987,-0.344,0.083,0.795,1.678,0.522,-0.258,-0.281,1.593,-1.598,1.335,0.463,-0.187,-0.108,-0.526,0.378
Jason Smith 2014,-3.017,3.543,-2.235,5.540,0.026,0.551,4.423,-0.369,-2.328,-0.408,-2.002,0.831,2.655,-0.284,-1.103,-0.856,0.648,-0.776,-0.945,1.607,0.382,-0.939,-1.049,-0.680
Josh Smith 2014,6.860,0.396,-1.089,1.649,-5.054,-0.511,1.645,1.124,1.304,-0.073,0.364,-0.791,2.057,-2.155,-0.292,-0.086,0.340,1.379,1.609,1.240,0.605,0.028,0.354,1.410
Tony Snell 2014,-6.038,-1.981,0.806,0.670,-1.119,0.555,-0.745,-0.345,0.250,-0.439,1.165,0.079,-0.282,0.110,-1.906,0.849,-0.194,0.330,0.152,0.763,0.420,0.696,-0.446,-0.801
Marreese Speights 2014,-2.270,4.243,-0.526,3.196,-0.395,-0.727,0.249,-1.459,-1.089,-0.634,0.806,-0.326,-0.391,-0.376,-0.914,0.916,1.811,0.239,1.023,-0.603,-0.365,-0.692,-0.159,0.069
Tiago Splitter 2014,0.169,6.567,-1.036,-2.319,1.521,-1.128,-0.241,-0.954,-0.875,-1.889,0.249,0.928,0.438,-3.244,-0.818,0.532,-2.732,-2.165,0.064,0.193,0.095,1.240,0.512,-0.477
Lance Stephenson 2014,5.676,-0.854,-0.163,-2.243,-2.012,-0.039,-1.000,0.055,-1.322,-2.201,0.939,-1.073,0.366,0.450,1.536,1.566,0.052,-0.884,-0.295,0.589,0.101,1.284,-0.199,-1.527
Greg Stiemsma 2014,-4.900,6.568,-0.007,-1.386,-0.585,2.419,0.471,0.819,-2.149,1.610,-2.110,-1.216,0.846,-2.566,-0.220,0.399,-1.215,-1.837,-0.492,-0.569,0.008,-0.207,-0.323,-0.378
Amar'e Stoudemire 2014,1.423,4.849,-1.571,2.974,1.513,-1.014,-0.375,-2.029,-1.740,-0.488,-1.715,-0.167,0.985,-0.760,-0.392,-1.312,0.598,-0.202,1.507,0.895,0.559,-0.410,-0.335,-0.755
Rodney Stuckey 2014,1.551,-1.299,-3.955,2.987,-0.487,-1.521,-1.046,-2.620,1.251,0.649,0.250,-0.462,-1.036,-1.082,0.312,-0.689,0.218,0.273,0.926,0.216,-0.267,-0.455,0.298,0.220
Jared Sullinger 2014,4.055,3.211,0.302,1.601,-2.781,-3.157,0.385,0.834,-0.858,-1.362,-0.123,0.170,-0.474,1.490,-1.385,0.105,0.288,-1.850,0.626,-0.100,-1.140,-1.172,-0.302,-0.070
Jeff Taylor 2014,-6.801,-0.517,-1.713,0.279,-1.114,-2.481,3.173,-0.921,1.848,0.364,1.035,0.395,0.915,-1.183,1.080,-0.367,-0.668,-0.519,-0.427,0.506,-1.033,0.260,-0.864,-1.236
Jeff Teague 2014,6.266,-3.973,-4.748,-1.809,-0.693,-1.354,-2.470,-1.085,-0.183,0.153,0.002,-1.204,-0.595,-1.158,-0.418,0.064,-0.440,0.685,-0.388,0.402,-0.723,0.033,-0.519,0.671
Mirza Teletović 2014,-2.496,-2.418,4.526,0.591,0.535,-1.667,-0.305,1.309,-1.477,-0.590,-0.024,0.372,-0.408,1.131,-0.905,0.324,0.531,-0.373,1.297,-0.690,0.187,-0.491,-0.708,-0.286
Garrett Temple 2014,-7.542,-0.303,-3.393,-0.585,-1.070,3.304,0.226,-1.214,-0.259,0.637,0.832,0.824,-0.080,-1.142,-0.473,0.708,0.285,0.500,0.594,0.262,0.684,-0.042,0.228,-0.325
Jason Terry 2014,-8.177,-3.179,0.161,0.168,1.172,0.067,0.392,-0.136,0.736,-0.916,1.147,-1.522,1.241,-1.312,3.520,-0.739,-1.597,0.419,0.778,2.862,-1.474,-2.439,1.291,0.762
Isaiah Thomas 2014,8.101,-5.950,-2.703,-1.432,1.647,-0.440,-1.850,-0.957,-0.270,0.643,-1.262,-0.899,-0.487,-0.638,-0.851,-0.389,0.135,-0.579,-0.808,1.005,-0.817,-1.156,0.820,0.117
Hollis Thompson 2014,-4.265,-0.683,1.907,-0.240,-1.693,-0.178,-0.179,-1.607,0.059,-0.502,-0.984,-0.928,-0.878,1.098,0.042,0.027,-0.498,-0.493,-0.288,0.413,-0.517,0.183,0.056,0.655
Jason Thompson 2014,0.073,6.416,-0.960,1.827,-3.246,-0.659,-1.369,0.194,-2.397,-0.244,-0.813,0.225,0.359,-1.438,-0.533,-0.589,-0.005,-1.323,0.042,2.110,-0.384,-0.595,0.240,-0.066
Klay Thompson 2014,6.120,-6.126,4.191,3.586,-2.485,0.499,0.113,-0.606,-0.632,1.800,-1.025,0.174,1.387,-0.587,-0.068,0.443,-0.117,-1.440,-0.126,-0.916,-1.470,0.988,0.236,-0.821
Tristan Thompson 2014,4.695,7.411,-1.157,1.472,-2.236,-3.435,-2.791,-0.875,-0.750,-0.912,-0.495,2.234,-1.899,0.002,-0.728,-0.410,-1.358,-0.166,-2.045,1.168,0.323,-0.245,0.845,0.016
Marcus Thornton 2014,-4.185,-2.658,0.605,1.177,-0.283,-1.385,-0.036,0.147,0.945,-0.138,-0.351,1.042,0.737,0.602,-0.204,-0.677,0.027,0.704,0.067,0.435,0.208,0.771,0.151,-0.304
Anthony Tolliver 2014,-5.580,-1.865,5.844,-0.068,1.518,-0.202,0.110,-0.537,-0.219,-0.217,0.340,-0.263,-0.596,1.134,0.724,-0.188,-0.174,1.974,-0.463,1.090,-1.332,-0.573,-0.041,-0.083
P.J. Tucker 2014,2.049,0.737,1.428,-2.627,-2.370,1.035,-0.201,-0.147,0.135,-1.544,-0.130,1.642,-1.867,0.340,-0.561,-1.392,0.527,-1.144,-0.384,0.064,0.068,0.749,-0.604,0.616
Ronny Turiaf 2014,-4.478,7.296,0.052,-1.741,2.896,0.595,1.959,0.553,-1.791,1.537,0.046,-0.669,1.906,-1.270,-0.426,-0.334,-2.487,-0.647,0.548,0.373,-0.062,2.000,0.622,0.550
Evan Turner 2014,3.953,-1.586,-4.404,3.917,-2.093,-2.009,0.881,0.774,0.502,0.722,-0.606,-0.481,-1.659,-0.046,2.091,-0.005,-0.398,-0.763,-0.615,-0.841,0.048,0.214,0.342,-0.335
Ekpe Udoh 2014,-6.302,5.079,-2.600,1.099,-1.266,-0.406,0.257,1.029,-2.101,3.373,-1.739,0.424,-0.252,0.291,-0.836,-0.946,-0.305,2.338,-0.629,0.642,-0.533,1.376,-0.738,0.201
Beno Udrih 2014,-5.643,-2.151,-3.785,0.735,1.565,1.623,-0.017,1.219,-0.007,-0.505,-0.145,-0.890,-0.213,0.753,1.073,-0.630,0.184,0.280,-0.838,-1.302,0.339,-0.130,-0.395,0.197
Jonas Valančiūnas 2014,5.171,8.651,-0.232,1.296,-2.101,-2.416,-2.747,0.469,-1.643,-0.199,-0.190,0.203,-0.674,-0.171,-0.819,-0.271,-0.053,-0.837,-1.123,1.596,-0.419,-0.205,0.548,-1.004
Anderson Varejão 2014,2.369,6.374,-0.778,1.400,-0.197,2.848,0.704,1.520,-2.175,-1.083,-1.619,2.846,-1.563,1.231,0.122,-0.076,-1.053,-0.581,-0.395,0.337,0.493,-0.595,-0.198,-0.326
Greivis Vásquez 2014,-1.415,-3.811,-1.110,0.031,1.120,-1.591,-2.710,2.241,-1.049,-1.179,0.727,-0.659,0.372,-0.571,-1.123,0.457,0.431,0.065,0.529,0.626,-1.293,0.437,0.887,-0.136
Nikola Vučević 2014,5.077,6.518,-1.739,2.760,-1.371,0.396,1.779,1.418,-0.887,-1.571,-2.476,1.754,0.755,1.443,0.056,0.481,0.363,-0.368,-0.248,0.975,0.367,-0.115,0.125,-0.950
Dwyane Wade 2014,7.378,-0.011,-4.880,1.772,2.218,1.456,-0.950,-0.131,2.069,-0.694,-0.970,-0.567,0.736,-1.252,1.148,-1.183,0.562,0.372,0.490,-0.451,0.538,0.420,-0.064,-0.437
Dion Waiters 2014,2.423,-4.346,-2.471,2.196,-1.749,-0.726,1.960,-2.176,-0.112,0.188,-0.887,-0.460,0.867,0.522,-0.672,0.441,0.641,0.275,1.067,-0.822,0.077,0.348,0.091,-0.538
Kemba Walker 2014,6.367,-5.879,-3.168,0.025,-0.826,0.987,1.042,-1.109,-0.715,0.751,0.860,0.716,0.549,0.879,-0.868,0.623,-0.019,0.511,-0.850,0.071,0.674,0.471,-0.178,0.244
John Wall 2014,10.767,-6.006,-4.102,-2.259,-2.260,3.169,2.180,-2.372,-1.003,-0.479,-0.476,-1.154,1.683,-0.530,0.045,1.369,1.039,0.288,0.399,0.936,-0.902,-0.086,-1.158,0.050
Gerald Wallace 2014,-4.019,0.915,-0.990,-2.716,-0.298,3.161,0.325,0.134,0.189,-0.270,-3.039,-2.511,-3.034,0.936,1.156,-0.751,-0.035,3.213,1.953,0.843,1.228,2.686,0.436,0.480
C.J. Watson 2014,-3.695,-3.161,-0.595,-1.933,1.217,3.140,-0.096,-1.017,1.314,-0.531,0.893,0.853,0.243,-0.227,-0.669,-0.484,-0.090,-0.033,0.816,-0.027,0.628,0.769,1.132,-0.496
Martell Webster 2014,-1.823,-3.524,4.896,0.126,0.161,-0.240,-0.232,-1.300,-0.841,-0.416,0.537,-0.163,0.147,-0.809,-0.267,-0.039,0.082,-1.157,0.145,0.676,-0.087,-0.169,-0.232,-0.630
David West 2014,8.656,3.087,-1.544,7.133,-1.982,4.527,-0.328,0.302,0.061,-1.824,1.855,0.507,0.353,-2.108,-1.191,-1.234,0.412,0.667,-0.547,0.241,-1.580,1.511,1.488,-1.293
Russell Westbrook 2014,8.207,-3.850,-4.585,-2.452,3.099,0.627,2.856,0.506,0.998,0.007,-1.724,0.684,-0.341,0.628,0.669,0.872,-0.508,0.258,0.340,-0.988,0.031,-0.383,0.264,-0.854
Deron Williams 2014,3.251,-5.370,-2.040,-1.415,0.546,1.424,-0.148,-0.128,-0.458,-0.895,-1.046,-0.510,0.485,-1.102,-0.763,-0.790,0.430,-0.727,-0.172,0.342,-0.348,0.117,-0.095,0.387
Derrick Williams 2014,-1.576,1.873,-0.731,0.096,0.113,-1.180,0.252,-2.141,0.661,0.539,0.683,0.222,-2.218,-0.775,0.107,0.186,0.371,-0.350,-0.315,1.245,0.299,0.560,0.521,0.476
Elliot Williams 2014,-5.725,-0.756,-0.801,-0.853,-1.454,-1.843,0.447,-2.491,0.209,0.052,-0.487,-0.818,-0.880,-0.792,0.169,0.203,-0.767,0.142,-0.253,-0.474,-0.416,-0.960,1.049,0.174
Lou Williams 2014,-1.849,-4.053,-1.512,-0.815,1.768,-0.434,-0.808,-0.783,-0.125,-0.072,0.601,0.054,0.243,-1.142,-0.274,0.179,0.566,0.373,-0.909,0.433,0.900,-0.947,1.161,0.344
Marvin Williams 2014,-1.233,-0.261,2.833,0.941,-0.575,0.408,0.728,0.673,0.097,-1.096,-0.522,0.262,0.327,0.256,0.005,0.093,0.705,-0.872,0.164,0.885,-0.364,-1.082,-0.722,0.907
Mo Williams 2014,-0.730,-4.596,-2.872,0.870,-1.861,1.002,-1.033,0.224,-2.110,-0.463,-0.553,-0.811,0.855,0.097,-0.478,-1.101,1.248,-0.221,0.585,-0.765,-0.397,-0.947,0.408,-0.790
Shawne Williams 2014,-6.269,0.261,2.953,0.787,-0.071,0.276,2.826,2.229,-0.509,-0.232,-1.218,-0.874,-0.819,1.944,-1.676,-0.894,-0.962,1.663,-0.365,0.605,0.765,0.218,-0.016,-1.049
Jeff Withey 2014,-4.933,5.951,0.464,0.568,3.612,1.335,-0.820,-0.958,-1.552,1.859,-2.463,-1.305,-0.578,-0.052,-3.949,0.706,-3.149,-0.306,0.656,0.244,2.288,2.446,0.441,0.634
Nate Wolters 2014,-3.491,-0.882,-3.527,0.260,0.325,-0.321,-1.035,-0.795,0.750,0.164,0.514,-0.167,0.317,1.450,0.021,0.515,-0.888,0.142,-0.539,0.607,-0.375,0.325,-0.224,1.143
Brandan Wright 2014,0.198,6.946,1.413,0.164,5.154,0.678,-3.073,-1.369,1.343,0.893,-2.442,-0.144,1.773,0.130,-0.367,0.053,-0.808,0.068,0.296,-0.038,0.480,-0.538,0.495,0.105
Dorell Wright 2014,-5.275,-1.700,2.318,-0.778,1.321,0.098,0.540,-0.004,-0.072,-1.196,3.455,0.884,0.375,-1.584,-0.058,1.317,-0.059,-1.247,-0.270,0.158,0.468,-0.558,-0.159,-0.365
Tony Wroten 2014,0.865,-0.716,-3.918,-2.841,-2.656,-4.054,0.567,-1.862,1.144,0.373,-1.565,-1.476,-1.104,-0.775,-0.338,1.035,-0.537,1.475,2.232,-0.359,0.767,0.116,-0.594,-0.422
Nick Young 2014,2.138,-4.479,0.843,2.648,1.099,-2.251,1.045,-1.825,-0.189,1.349,-0.784,-0.150,0.037,-0.920,0.186,-0.900,1.138,-0.478,0.773,-0.065,0.301,-0.906,0.433,-0.196
Thaddeus Young 2014,7.435,-0.009,0.009,-0.770,-4.541,-1.380,-0.897,0.075,4.006,-1.200,-2.757,1.628,0.622,-1.057,0.269,-0.195,0.034,0.651,1.212,-0.725,0.274,-0.435,-0.317,0.731
Cody Zeller 2014,-1.734,4.934,-1.735,-0.116,-1.383,1.012,1.862,-2.918,-2.191,0.751,-0.700,0.819,-0.446,-0.347,-1.524,1.215,0.703,0.807,0.640,0.788,-0.286,-0.380,-0.313,-0.880
Tyler Zeller 2014,-2.668,6.289,-0.214,1.275,1.094,0.036,-0.507,-1.520,-2.184,0.967,-2.105,-0.329,-0.580,-0.132,-0.787,0.846,-0.536,0.283,0.363,0.374,-0.075,0.166,0.157,-0.220
Quincy Acy 2015,-3.335,2.285,-0.137,2.342,-0.700,0.643,0.862,-1.110,-1.043,-0.532,-0.435,-1.075,-1.012,0.701,0.487,0.577,1.168,-0.779,-0.429,0.172,0.242,-0.911,-0.215,0.352
Steven Adams 2015,0.959,8.519,-0.525,-2.931,-1.922,-2.027,-0.924,-0.326,-1.328,2.126,-0.120,0.621,0.855,0.383,0.175,-1.102,1.654,-0.022,-1.191,0.750,-0.864,0.299,-0.119,-0.176
Arron Afflalo 2015,0.294,-3.750,0.020,4.328,-0.167,-1.168,0.365,-0.024,-0.285,0.624,-0.550,0.034,-0.485,-0.281,0.830,-1.021,-0.476,0.010,-0.685,-0.269,-0.118,1.056,0.548,-0.284
Alexis Ajinça 2015,-0.807,6.759,-0.997,1.953,1.983,0.624,-2.220,1.729,-2.105,1.466,-1.046,0.396,-0.606,-0.111,-1.463,0.801,0.467,-0.895,0.814,-0.149,0.202,-0.083,-0.268,-0.503
Furkan Aldemir 2015,-6.263,5.271,-1.302,-1.061,0.958,0.933,1.244,-0.738,-2.541,0.866,-3.368,0.198,-0.887,4.110,-0.306,-0.412,-0.796,1.097,2.386,2.940,-1.989,1.789,0.449,0.473
Cole Aldrich 2015,-1.583,7.478,-1.709,-1.990,0.322,-0.502,-1.823,3.011,-0.191,1.883,0.776,2.403,1.708,-0.701,-0.117,0.883,1.808,1.055,0.807,1.150,-1.658,0.420,1.072,0.959
LaMarcus Aldridge 2015,12.472,1.520,-1.739,8.416,0.225,1.407,3.119,-1.333,-0.070,-1.641,3.084,1.898,1.049,0.646,0.493,-0.073,1.043,-0.868,0.621,0.486,-0.430,1.120,0.004,-0.329
Lavoy Allen 2015,-2.980,5.666,-0.699,2.339,0.861,1.534,0.528,-0.413,-2.335,-1.000,-0.267,1.552,2.033,-0.120,-1.316,1.798,0.411,0.298,-0.346,1.334,-0.799,-1.536,-0.678,0.337
Tony Allen 2015,0.369,2.692,-0.799,-3.830,-1.727,3.745,0.600,-0.442,3.771,-0.713,-2.873,1.258,-1.277,-0.265,0.070,-1.905,-0.362,0.979,1.853,-1.669,0.228,0.578,-0.778,0.042
Al-Farouq Aminu 2015,-2.272,2.658,1.454,-2.748,-0.707,1.460,0.875,-0.347,1.363,1.310,0.698,0.898,-0.706,1.889,-0.342,-0.032,0.981,1.229,1.260,-0.022,-0.704,-0.325,0.204,0.725
Lou Amundson 2015,-3.328,6.213,-2.625,0.486,-0.903,-0.831,1.336,2.409,-2.307,1.277,-1.846,0.540,0.303,-0.706,-1.533,-0.679,-1.969,0.960,-0.446,-1.094,0.629,-0.072,-0.022,0.814
Chris Andersen 2015,-2.716,5.767,1.711,-1.189,2.773,1.702,1.086,-1.255,-0.700,-0.263,0.998,-1.280,-0.491,-0.633,0.479,-0.990,0.035,0.312,0.455,-1.514,0.738,0.638,-0.490,1.730
Alan Anderson 2015,-3.032,-1.668,1.691,-0.067,-0.299,0.726,-1.405,-0.413,0.120,0.045,-0.190,0.000,-1.035,-0.460,1.136,-1.121,0.225,-0.540,0.728,0.561,0.483,-0.439,-0.300,-0.279
Ryan Anderson 2015,0.120,-2.347,2.346,1.240,0.997,-3.120,0.607,0.081,-0.733,-0.360,0.387,1.660,0.120,1.093,-0.876,-0.021,0.781,-0.872,0.509,-0.864,0.257,-0.728,-1.087,0.101
Giannis Antetokounmpo 2015,5.505,3.917,-1.406,-1.503,-3.066,0.668,1.634,-2.235,0.008,0.201,0.980,-2.028,-0.349,-0.079,-0.681,-0.161,-0.119,-0.688,0.803,1.443,0.365,1.270,-0.380,-1.264
Carmelo Anthony 2015,5.535,-2.268,-2.774,3.782,3.362,-1.863,3.869,0.456,0.272,-0.469,-0.551,1.000,0.339,0.724,0.561,-0.887,0.536,-1.005,0.470,-0.479,0.514,-0.553,-1.246,0.487
Pero Antić 2015,-5.385,0.615,2.559,0.336,-0.312,-1.533,1.435,-0.746,-1.715,-0.223,0.231,-0.077,-1.957,-1.563,-0.130,-0.575,0.803,1.021,-0.846,-1.460,0.339,-1.279,-1.178,-0.773
Trevor Ariza 2015,3.392,-4.869,5.311,-4.037,-3.471,1.119,0.970,0.432,0.113,-0.575,-0.868,2.276,0.189,-1.129,1.372,0.783,-0.211,-0.650,0.355,-0.224,0.283,0.369,-0.637,0.618
Darrell Arthur 2015,-3.640,0.378,-0.281,3.381,-1.139,2.700,1.919,0.216,0.475,0.407,-1.556,0.318,-0.144,-0.223,-0.864,0.225,1.378,0.068,0.265,-0.050,0.394,-1.695,-0.790,-0.662
Ömer Aşık 2015,0.868,8.427,-0.133,-4.292,-0.986,-2.541,1.560,-2.885,-3.025,-0.804,1.952,2.552,0.541,1.617,2.479,-0.235,-0.065,-0.131,-0.870,-0.975,0.708,1.426,-0.250,0.048
D.J. Augustin 2015,-1.424,-4.117,-3.972,-2.158,2.194,-1.674,-1.227,-0.806,-0.588,-0.705,1.125,-0.608,0.543,-0.245,-0.315,-0.179,-0.194,0.646,-0.270,0.213,-0.508,0.060,1.096,0.397
Luke Babbitt 2015,-6.541,-1.431,2.195,0.745,1.747,0.354,-1.104,0.486,-0.036,-1.013,1.264,-0.662,-0.998,0.882,-1.244,0.128,-0.090,-0.741,-0.333,-0.204,-0.370,0.446,-0.808,0.183
Leandro Barbosa 2015,-3.417,-1.139,0.030,-0.283,1.806,1.045,-1.473,-1.452,1.802,-0.969,0.218,0.278,0.485,-1.027,-0.052,-0.428,-0.634,0.349,0.790,-1.262,-0.032,-0.234,0.293,-0.390
J.J. Barea 2015,-2.351,-3.335,-2.974,-0.384,1.088,-0.436,-3.215,-0.322,-0.697,-1.215,1.025,0.459,0.525,0.939,-1.169,-0.559,-0.333,0.295,0.831,0.104,-0.406,-0.487,0.092,0.069
Andrea Bargnani 2015,-1.152,1.180,-2.208,5.951,3.008,-1.834,2.325,0.928,-0.316,0.225,0.265,-1.206,0.149,0.115,-0.733,-0.907,0.591,0.399,-0.886,-0.415,0.199,-0.254,-1.304,1.140
Harrison Barnes 2015,1.720,-0.005,2.945,0.415,-1.199,0.408,-0.768,-1.899,0.495,-1.299,0.453,0.458,-0.031,1.099,0.758,0.510,-0.161,-0.921,-0.539,0.798,-0.315,1.353,-0.042,0.127
Matt Barnes 2015,-0.182,-1.702,5.743,-1.525,-2.210,0.021,-0.075,0.609,-0.677,-0.187,-1.629,-1.363,0.223,-0.849,0.261,-1.763,-1.264,0.032,0.728,0.093,-0.074,-0.275,-0.314,-0.038
Will Barton 2015,-2.458,0.290,-2.339,-1.404,2.366,-0.160,1.769,1.156,2.557,-0.024,-0.203,0.868,0.638,-1.033,-0.320,0.468,-0.065,-0.972,-0.646,-0.327,0.715,-0.370,1.174,0.063
Brandon Bass 2015,2.199,2.612,-0.568,4.016,0.146,1.681,0.294,-3.087,-0.171,-0.934,0.631,-0.086,-0.773,0.626,0.716,-0.264,-0.768,-0.501,0.321,-0.553,-0.744,-0.240,-0.542,0.279
Nicolas Batum 2015,0.966,-2.599,1.774,-2.054,-1.225,2.881,1.172,0.977,-1.107,-0.665,0.952,-0.270,0.652,0.536,1.185,1.442,-0.597,0.671,-1.004,1.270,0.330,0.962,-0.376,0.312
Jerryd Bayless 2015,-1.602,-1.741,-2.497,0.081,-1.839,1.974,0.105,-1.105,-0.745,-0.536,-0.114,-1.202,-0.272,-0.578,-0.333,0.262,1.433,0.302,0.143,-0.166,0.400,-0.395,0.881,-0.596
Aron Baynes 2015,-1.763,6.017,0.868,1.287,1.147,-0.462,-1.861,-0.642,-0.764,-1.371,-1.290,-1.320,-1.709,-0.412,-0.408,0.018,0.697,-0.531,-0.008,-1.414,-0.181,0.391,-0.085,-0.294
Kent Bazemore 2015,-4.237,0.314,0.735,-1.709,-1.608,0.814,0.114,-0.373,0.905,0.306,0.922,-0.501,-0.553,-1.541,-0.175,1.068,-0.553,0.064,-0.036,-0.596,0.512,-0.213,1.319,-0.149
Bradley Beal 2015,2.957,-3.709,-0.108,1.647,-1.589,0.773,1.613,-1.264,1.017,0.492,-1.117,0.238,1.140,0.462,0.718,0.725,0.243,0.203,-0.440,-0.189,-0.795,0.536,0.539,-0.200
Michael Beasley 2015,-4.766,0.728,-3.657,2.445,0.236,-0.644,1.363,2.905,0.717,1.272,-0.333,-0.420,-0.038,0.621,0.853,-0.197,1.220,-1.001,0.512,0.296,0.860,-0.228,-1.345,-0.660
Marco Belinelli 2015,-3.120,-3.157,1.769,1.605,0.990,0.230,0.612,-1.182,-0.475,-0.687,-0.189,-0.243,-0.296,0.270,0.027,-0.027,-0.272,0.715,0.224,0.498,-0.188,0.202,0.843,-0.186
Anthony Bennett 2015,-5.250,2.343,-0.828,3.023,-1.056,0.528,3.411,-2.255,0.223,-1.410,-0.395,0.199,0.235,-0.070,0.051,2.278,1.019,0.795,-0.608,0.370,-0.613,-1.299,0.053,1.319
Patrick Beverley 2015,-1.330,-3.933,1.068,-3.367,-1.738,-0.765,-0.230,2.339,-0.202,0.114,-0.041,0.815,1.049,1.490,-0.491,-1.759,0.794,-1.129,-0.781,-0.166,-0.787,-0.231,0.023,-0.820
Bismack Biyombo 2015,-2.030,9.247,0.325,-4.034,0.869,-0.677,1.358,-2.213,-2.527,3.884,1.388,0.648,0.639,0.472,-0.543,-0.688,1.248,0.667,-1.472,-0.203,-0.856,0.432,1.619,1.344
Tarik Black 2015,-2.708,6.647,-0.976,-1.572,2.155,-2.597,0.614,-0.956,-0.792,-0.430,-0.040,1.196,1.550,-1.583,0.237,0.283,0.172,-2.993,-1.040,0.033,-0.523,0.417,-0.748,-0.891
Steve Blake 2015,-5.265,-4.857,-1.132,-2.114,-1.202,1.901,-0.404,0.200,-2.884,-1.336,1.509,-1.113,-0.040,0.723,0.020,-0.619,-1.397,0.931,0.867,0.087,-1.058,-0.758,1.064,-0.263
Eric Bledsoe 2015,8.080,-3.352,-3.059,-4.167,-1.197,1.098,0.923,-1.811,-0.823,-0.184,0.211,-1.045,-0.077,-0.523,-0.248,0.140,0.289,-0.015,-0.014,0.863,0.887,-0.018,-0.105,0.588
Bojan Bogdanović 2015,-2.447,-1.769,2.155,0.597,-0.126,-1.801,-1.560,-1.547,0.389,-0.131,0.661,-0.467,0.199,-0.337,1.284,0.787,-0.326,-0.411,0.361,0.281,0.084,0.169,-0.364,0.202
Andrew Bogut 2015,1.469,8.948,0.158,-3.629,-1.294,1.615,-1.585,3.288,-1.583,0.915,1.080,0.231,3.006,-0.201,1.088,-0.111,0.986,1.456,-0.818,-0.222,-0.860,0.674,-0.478,-0.864
Matt Bonner 2015,-6.273,-0.145,2.564,1.747,1.842,0.016,-2.838,0.386,-0.086,-0.570,1.585,0.216,-0.747,-0.017,0.029,-1.152,0.795,1.656,0.349,2.018,-0.726,-0.315,-1.524,0.732
Trevor Booker 2015,-0.822,3.218,0.282,-0.013,-0.126,0.519,-0.446,-0.631,-0.137,-0.570,0.657,-0.324,-0.887,0.721,0.308,0.601,0.491,-0.069,1.148,-0.086,-0.678,-0.841,0.213,1.040
Carlos Boozer 2015,2.413,4.216,-2.332,4.764,-0.903,0.006,0.167,-0.629,-1.542,-0.233,-1.448,1.698,-0.372,0.580,2.907,0.093,-1.343,-0.140,1.281,-0.062,-0.077,-1.280,-0.014,-1.400
Chris Bosh 2015,4.643,-1.397,-1.413,4.941,2.595,-0.522,3.267,0.976,0.092,-0.001,0.242,0.555,-0.782,0.351,0.720,-0.394,0.778,-0.306,-0.093,-0.509,1.348,0.800,-0.537,0.493
